"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
20,2,34,0,9,15,122,"NO"
1,1,1,0,1,0,4,"NO"
176,1,156,6,114,190,484,"YES"
12,6,18,0,5,10,33,"NO"
115,2,174,0,23,820,673,"NO"
2,1,4,0,2,1,16,"NO"
23,4,46,0,6,78,87,"NO"
2,1,2,0,2,1,9,"NO"
64,3,50,0,11,105,250,"NO"
3,3,5,1,4,6,9,"NO"
25,2,51,0,6,105,95,"NO"
10,2,14,0,8,15,42,"NO"
14,7,22,0,5,3,42,"NO"
93,3,125,0,12,78,387,"NO"
19,2,18,0,1,136,53,"NO"
4,2,4,0,4,3,14,"NO"
148,3,172,2,63,351,624,"YES"
6,1,5,1,1,6,20,"NO"
0,2,2,2,1,1,0,"NO"
276,2,244,2,36,190,1126,"YES"
17,1,34,0,4,45,52,"NO"
4,3,8,0,6,3,16,"NO"
29,6,61,3,18,91,127,"YES"
166,4,191,5,22,136,494,"YES"
1,2,2,0,2,0,3,"NO"
212,2,171,4,27,210,795,"YES"
156,7,220,0,21,55,591,"YES"
39,3,40,0,9,45,166,"NO"
37,1,40,0,3,45,144,"NO"
234,3,281,15,108,528,760,"NO"
13,3,12,1,5,10,35,"NO"
15,2,55,0,3,10,72,"NO"
12,6,17,2,7,15,52,"NO"
27,2,14,0,5,66,55,"NO"
53,4,47,0,7,28,214,"YES"
11,6,17,0,5,3,32,"NO"
25,3,51,0,5,105,96,"NO"
20,5,22,0,6,78,56,"NO"
110,3,93,0,55,105,378,"YES"
72,1,72,0,31,190,245,"YES"
56,2,130,0,5,300,258,"NO"
94,4,162,0,14,703,419,"NO"
91,3,106,0,11,15,343,"NO"
7,5,12,0,3,10,34,"NO"
11,6,14,0,3,21,39,"NO"
6,7,10,0,1,15,21,"NO"
68,2,54,0,6,136,197,"NO"
0,4,1,0,1,0,0,"NO"
21,1,29,2,5,55,81,"NO"
16,5,13,1,6,10,45,"NO"
456,4,446,1,55,1275,1461,"YES"
36,3,51,0,14,15,167,"NO"
53,1,53,1,13,45,151,"NO"
3,1,3,0,1,3,11,"NO"
8,3,7,0,3,3,27,"NO"
81,3,156,0,15,595,319,"NO"
15,5,10,0,2,10,50,"YES"
8,7,10,0,3,28,25,"NO"
25,3,24,0,8,28,69,"YES"
31,1,30,0,5,36,109,"NO"
21,1,16,16,35,55,85,"NO"
11,6,24,0,7,10,35,"NO"
22,1,18,0,16,10,62,"NO"
30,2,58,0,13,15,207,"NO"
25,1,24,0,3,36,83,"NO"
5,2,10,17,7,6,18,"NO"
84,3,172,0,19,15,451,"YES"
11,1,11,1,1,55,43,"NO"
29,2,42,0,13,1,166,"YES"
63,2,85,0,8,28,264,"NO"
49,3,24,0,6,6,107,"NO"
18,4,18,0,11,15,64,"NO"
20,3,49,0,17,21,83,"NO"
48,1,37,1,8,10,140,"YES"
18,5,39,0,8,21,70,"YES"
4,2,2,0,1,1,11,"NO"
7,2,12,0,5,10,27,"NO"
16,3,35,0,4,66,59,"NO"
0,4,1,0,1,0,0,"NO"
3,4,5,0,2,3,12,"NO"
10,2,10,5,20,10,35,"NO"
34,2,51,0,11,45,108,"NO"
7,1,5,0,3,3,25,"NO"
30,3,34,0,9,10,90,"NO"
80,1,89,0,11,55,377,"YES"
0,1,2,5,6,1,0,"NO"
6,2,13,2,4,10,23,"NO"
9,3,19,0,4,36,31,"NO"
8,7,12,2,6,3,30,"NO"
11,3,14,2,9,28,31,"NO"
25,1,28,0,5,10,140,"NO"
22,3,48,0,6,91,86,"NO"
25,2,18,0,4,21,67,"YES"
57,6,126,1,20,378,222,"NO"
56,2,149,0,28,36,423,"NO"
3,2,3,0,2,1,10,"YES"
7,3,9,0,4,6,33,"NO"
38,3,72,0,6,171,136,"NO"
14,4,18,0,6,3,41,"NO"
24,1,38,0,6,1,131,"NO"
47,5,70,0,8,45,210,"NO"
6,3,13,1,7,10,34,"NO"
87,4,105,5,38,28,241,"NO"
31,1,34,0,6,15,116,"NO"
24,3,49,0,5,91,98,"NO"
4,4,7,0,2,3,17,"YES"
35,2,88,0,12,105,163,"NO"
246,3,210,0,22,630,724,"NO"
12,2,25,0,10,28,46,"NO"
22,4,34,1,11,55,63,"NO"
23,2,50,0,6,105,91,"NO"
14,1,12,0,8,45,34,"NO"
31,2,43,0,3,120,123,"YES"
19,1,16,0,7,15,56,"NO"
5,1,11,1,13,1,14,"NO"
27,3,54,0,6,91,106,"NO"
102,1,67,0,6,78,393,"NO"
13,3,23,0,4,28,50,"NO"
56,4,75,0,16,15,195,"NO"
2,3,5,0,1,1,9,"NO"
12,2,14,0,3,66,37,"NO"
44,2,30,0,5,36,124,"NO"
2,2,3,6,3,3,6,"NO"
2,7,2,0,0,1,7,"NO"
25,2,17,0,1,21,74,"NO"
36,1,33,0,4,55,118,"NO"
175,2,176,0,26,190,526,"YES"
5,1,5,0,2,10,18,"NO"
1,2,1,0,1,0,3,"NO"
16,3,35,0,3,66,60,"NO"
46,2,104,1,15,15,223,"YES"
56,2,81,4,18,136,165,"NO"
12,1,12,0,5,3,77,"YES"
10,7,17,1,7,15,38,"YES"
93,1,122,1,15,120,383,"NO"
39,2,23,0,6,21,142,"NO"
32,4,47,0,62,105,124,"NO"
24,1,32,0,4,21,233,"NO"
196,1,319,0,25,465,661,"NO"
26,4,57,0,7,136,98,"NO"
18,1,20,0,3,45,64,"NO"
38,1,54,1,17,66,144,"YES"
27,3,53,0,6,91,107,"NO"
4,1,5,2,1,10,12,"NO"
51,1,89,2,22,55,242,"NO"
38,5,56,2,23,28,132,"NO"
32,2,44,0,10,36,186,"NO"
26,2,54,0,9,66,89,"NO"
43,2,68,0,2,496,145,"NO"
40,3,60,0,12,36,155,"NO"
3,4,3,1,1,3,9,"NO"
18,1,27,0,1,45,55,"NO"
120,1,143,0,61,171,513,"YES"
4,2,6,0,1,1,9,"NO"
