"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
7,5,10,0,5,21,23,"NO"
2,1,5,0,1,1,8,"NO"
9,1,12,0,4,3,28,"NO"
10,1,9,0,1,6,36,"NO"
8,2,17,0,4,15,32,"NO"
2,2,4,0,3,1,8,"NO"
0,1,0,0,0,0,0,"YES"
3,2,8,0,3,3,15,"NO"
4,3,7,0,2,6,12,"NO"
3,1,7,0,3,1,15,"NO"
36,2,60,7,7,120,158,"YES"
60,2,106,0,11,55,172,"NO"
16,4,24,0,5,78,51,"NO"
20,3,61,0,13,78,130,"NO"
76,3,128,0,6,55,210,"NO"
5,2,9,0,5,1,18,"NO"
0,1,0,0,0,0,0,"NO"
36,2,83,0,10,66,245,"YES"
8,1,21,0,8,6,42,"NO"
10,2,36,0,12,28,36,"NO"
29,4,88,0,12,120,252,"NO"
11,1,28,0,12,21,82,"NO"
7,2,28,0,11,1,34,"NO"
30,2,102,0,17,21,123,"YES"
0,1,1,0,6,0,0,"YES"
29,1,58,1,6,78,118,"YES"
39,1,72,0,362,253,134,"YES"
50,4,117,0,22,136,237,"NO"
2,1,8,0,3,1,13,"NO"
3,1,6,0,2,3,32,"NO"
4,1,8,0,2,3,20,"NO"
61,5,177,0,30,378,317,"NO"
13,4,26,8,16,36,44,"NO"
15,2,25,0,4,10,47,"NO"
38,5,84,0,10,78,144,"NO"
32,3,92,0,27,210,153,"YES"
10,2,18,9,13,28,30,"NO"
19,2,40,1,4,78,96,"NO"
4,1,9,0,7,3,15,"NO"
12,1,15,1,2,6,31,"NO"
8,5,14,0,3,28,29,"NO"
8,5,21,0,8,21,30,"NO"
3,3,5,0,2,3,23,"NO"
3,5,5,0,3,3,9,"NO"
24,1,46,0,5,78,104,"NO"
18,4,50,0,13,55,110,"YES"
3,2,10,0,6,1,17,"YES"
13,2,32,2,7,6,39,"NO"
7,1,14,0,1,1,18,"NO"
10,2,14,0,6,10,27,"NO"
22,3,77,0,14,66,179,"NO"
7,2,33,0,10,6,34,"NO"
36,1,43,0,4,105,94,"NO"
10,1,16,0,2,10,33,"NO"
7,3,11,0,6,3,26,"NO"
20,4,42,0,9,190,69,"NO"
30,2,38,0,11,78,93,"NO"
4,1,5,0,3,1,17,"NO"
40,2,60,6,18,253,131,"NO"
1,1,2,0,1,0,3,"NO"
92,5,239,0,29,528,432,"NO"
23,5,70,0,15,91,166,"NO"
3,2,5,0,1,3,11,"NO"
86,2,205,0,26,153,416,"YES"
6,3,10,0,5,6,19,"NO"
27,1,55,0,8,28,129,"NO"
93,3,194,0,26,231,314,"YES"
13,1,13,0,3,10,46,"NO"
22,2,52,0,13,36,110,"NO"
50,5,117,0,25,136,212,"NO"
12,3,11,0,4,6,28,"NO"
4,3,5,2,2,1,13,"NO"
31,1,74,0,13,66,177,"NO"
5,3,8,0,3,6,15,"NO"
12,1,30,2,9,55,45,"NO"
8,1,16,0,3,15,32,"NO"
4,4,13,0,4,3,13,"NO"
7,1,21,0,6,15,32,"NO"
5,2,15,0,5,6,34,"NO"
30,1,44,0,4,190,93,"NO"
20,5,45,0,13,105,95,"NO"
9,1,12,0,4,3,42,"NO"
31,1,43,0,6,91,97,"NO"
8,6,12,0,14,15,32,"NO"
6,6,21,0,4,6,43,"NO"
32,1,69,0,14,21,102,"NO"
13,5,20,0,14,15,31,"NO"
36,2,42,0,8,21,112,"NO"
1,3,2,1,3,0,5,"NO"
23,5,58,0,9,36,96,"NO"
10,1,12,0,11,15,27,"NO"
5,1,23,0,8,6,38,"NO"
25,1,43,0,11,10,84,"NO"
167,5,369,0,33,1596,618,"NO"
63,1,122,0,11,210,307,"NO"
1,3,1,0,0,0,3,"NO"
3,6,6,0,2,3,10,"NO"
97,1,163,0,24,465,332,"YES"
3,2,4,0,2,1,10,"NO"
172,3,352,0,29,528,724,"NO"
47,2,89,0,19,66,170,"YES"
2,3,5,0,2,1,12,"NO"
59,3,162,0,21,276,338,"NO"
14,2,40,0,10,55,96,"YES"
30,1,89,0,12,36,152,"NO"
15,3,32,2,7,15,40,"NO"
8,5,17,0,47,21,33,"NO"
34,5,94,0,16,136,211,"NO"
23,5,59,0,11,66,64,"NO"
10,4,32,0,12,15,38,"NO"
22,4,57,0,10,78,159,"NO"
4,2,6,0,1,6,17,"NO"
30,1,74,0,19,78,111,"NO"
1,1,4,0,2,0,34,"YES"
25,3,72,0,18,55,97,"NO"
19,5,38,0,3,171,61,"NO"
32,1,55,4,24,210,120,"NO"
2,1,5,0,5,1,11,"NO"
3,8,7,0,6,6,11,"NO"
13,2,28,0,6,10,44,"NO"
259,3,495,1,53,3321,847,"YES"
16,5,36,1,13,91,56,"NO"
8,3,10,0,3,21,25,"NO"
57,1,107,0,18,120,194,"NO"
10,2,35,2,8,36,59,"NO"
34,1,56,0,11,171,124,"NO"
6,1,13,0,4,10,20,"YES"
2,2,2,0,2,1,7,"NO"
20,3,39,0,9,36,63,"NO"
21,2,26,0,7,45,66,"NO"
8,1,19,0,5,1,52,"YES"
2,1,6,0,5,1,11,"NO"
5,7,6,0,6,10,14,"NO"
7,1,8,0,3,3,24,"NO"
3,1,3,0,2,1,9,"NO"
7,4,9,0,3,15,21,"NO"
10,1,28,0,2,15,71,"YES"
3,3,11,0,3,3,11,"NO"
4,1,10,0,3,1,15,"NO"
4,1,4,0,6,6,13,"NO"
22,3,58,0,8,66,195,"NO"
5,1,5,0,2,10,18,"NO"
11,2,19,0,6,3,57,"NO"
4,1,12,0,3,1,19,"NO"
139,1,273,2,46,528,582,"YES"
29,2,62,0,16,45,144,"NO"
62,1,131,0,21,171,223,"YES"
21,1,28,0,10,45,55,"NO"
16,4,31,0,9,66,53,"NO"
8,2,31,0,7,21,53,"NO"
11,2,25,1,6,21,55,"NO"
7,6,12,0,4,21,22,"NO"
7,3,12,0,5,6,21,"NO"
15,1,22,0,10,55,45,"NO"
2,1,3,0,1,1,6,"YES"
7,3,13,1,9,15,22,"NO"
10,5,28,0,8,21,37,"YES"
3,2,5,0,1,3,9,"NO"
24,2,28,1,5,45,76,"NO"
8,5,17,0,6,6,145,"NO"
51,1,92,1,13,136,155,"YES"
7,1,12,0,3,10,35,"YES"
7,4,30,0,6,10,64,"NO"
3,5,5,0,5,3,9,"NO"
108,5,243,0,35,595,525,"NO"
1,1,2,0,1,0,3,"NO"
73,1,141,0,21,435,415,"NO"
3,6,6,0,2,3,11,"NO"
10,1,27,1,8,28,37,"YES"
17,2,50,0,8,66,59,"NO"
13,2,16,0,10,21,42,"NO"
28,1,62,0,12,45,152,"NO"
71,3,151,0,33,378,255,"YES"
92,5,200,0,30,406,482,"NO"
3,2,5,5,1,1,12,"NO"
5,2,6,2,4,10,17,"NO"
218,2,471,0,22,666,646,"YES"
8,1,12,0,3,15,20,"NO"
13,1,36,0,5,21,114,"YES"
