"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
3,1,14,0,6,3,15,"NO"
115,1,172,0,14,300,492,"NO"
3,1,3,0,4,3,11,"YES"
1,2,1,0,1,0,4,"NO"
0,1,0,0,0,0,0,"NO"
2,1,8,0,2,1,6,"NO"
39,2,34,0,12,45,153,"NO"
3,2,3,0,3,1,8,"NO"
4,2,9,0,2,10,13,"YES"
7,1,12,3,10,36,21,"NO"
22,1,29,0,7,45,77,"YES"
8,1,17,0,22,6,24,"NO"
2,1,8,0,4,1,8,"NO"
0,1,0,0,0,0,0,"NO"
0,2,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,"NO"
410,1,836,1,40,2016,1805,"YES"
2,1,8,0,4,1,9,"NO"
38,2,54,0,12,190,120,"NO"
4,1,4,0,1,6,15,"NO"
0,1,0,0,0,0,0,"YES"
5,1,10,0,2,1,30,"NO"
38,1,108,0,17,210,149,"NO"
9,2,14,0,3,21,32,"NO"
0,1,1,2,2,0,0,"NO"
34,1,36,0,5,15,114,"YES"
24,1,35,1,5,15,83,"YES"
31,3,35,0,12,91,65,"YES"
1,2,3,0,2,0,4,"NO"
10,1,20,0,6,6,73,"NO"
0,1,1,0,1,0,0,"NO"
0,1,1,0,1,0,0,"NO"
6,1,15,0,1,1,27,"NO"
2,1,8,0,2,1,6,"NO"
0,1,0,0,0,0,0,"NO"
1,1,2,0,1,0,3,"NO"
0,1,0,0,0,0,0,"NO"
6,2,11,0,5,15,19,"NO"
46,1,177,0,30,210,221,"NO"
109,1,199,0,26,406,430,"YES"
30,1,45,0,13,21,100,"NO"
0,2,0,0,0,0,0,"YES"
147,2,180,0,24,2775,425,"YES"
9,1,14,0,3,6,44,"NO"
0,2,0,0,0,0,0,"YES"
3,1,3,0,0,3,10,"NO"
122,1,252,0,21,378,503,"YES"
4,1,4,0,10,6,15,"YES"
28,1,57,0,5,36,95,"YES"
14,1,30,0,7,6,55,"YES"
22,1,36,0,9,6,98,"NO"
14,2,29,0,6,21,62,"NO"
0,1,1,0,1,0,0,"NO"
0,1,0,0,0,0,0,"NO"
10,1,22,0,6,10,54,"NO"
28,2,41,0,9,21,63,"YES"
10,2,9,0,2,10,31,"YES"
5,1,5,0,5,10,18,"NO"
37,1,115,0,17,45,188,"NO"
26,1,28,0,3,231,73,"NO"
1,1,2,0,1,0,3,"NO"
57,1,55,0,7,45,217,"YES"
33,1,36,0,7,55,125,"YES"
107,1,219,0,16,435,403,"YES"
0,1,1,0,1,0,0,"NO"
30,1,83,0,19,66,155,"YES"
0,1,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,"NO"
13,2,15,5,14,45,36,"YES"
16,1,16,0,5,15,70,"NO"
1,1,2,0,1,0,3,"NO"
28,1,7,0,1,3,153,"NO"
13,1,21,0,2,28,49,"NO"
0,1,0,0,0,0,0,"NO"
17,1,37,0,2,15,110,"YES"
13,1,26,0,4,55,56,"NO"
57,1,101,0,16,78,180,"NO"
33,1,43,0,13,91,86,"NO"
11,1,18,4,12,28,49,"NO"
534,1,1009,0,39,2016,1543,"YES"
0,1,1,0,1,0,0,"NO"
2,1,8,0,4,1,8,"NO"
23,1,121,0,10,66,173,"NO"
13,1,11,0,11,10,28,"YES"
0,1,0,0,0,0,0,"NO"
1,1,3,0,2,0,4,"NO"
251,1,523,0,77,1653,1250,"YES"
46,1,51,0,8,36,186,"YES"
9,1,14,0,4,6,30,"NO"
2,1,2,0,0,1,6,"NO"
2,1,8,0,4,1,9,"NO"
39,1,38,0,5,45,145,"NO"
8,1,8,0,21,28,30,"NO"
2,1,3,0,1,1,7,"NO"
21,1,27,0,6,55,61,"NO"
36,1,102,0,12,190,172,"NO"
15,1,23,0,10,15,47,"NO"
98,1,171,0,16,171,248,"YES"
2,1,11,0,4,1,11,"NO"
22,1,29,0,7,45,76,"YES"
119,1,341,0,34,435,501,"YES"
29,1,71,0,7,21,121,"NO"
1,1,3,0,2,1,3,"NO"
18,1,28,0,10,1,48,"NO"
12,1,23,0,3,21,69,"NO"
18,1,53,0,16,66,81,"YES"
22,3,44,0,18,153,103,"YES"
2,1,8,0,2,1,6,"NO"
15,1,18,3,6,66,39,"YES"
59,1,79,0,12,136,336,"YES"
15,1,27,0,7,21,48,"NO"
73,1,122,0,14,253,294,"NO"
4,2,7,0,4,6,13,"NO"
41,1,66,0,10,36,143,"YES"
17,1,48,0,9,6,133,"YES"
19,2,26,0,5,28,45,"YES"
26,1,46,0,9,28,92,"NO"
4,1,7,0,3,3,12,"YES"
36,1,55,0,6,45,108,"NO"
17,1,39,5,28,91,55,"YES"
2,1,8,0,2,1,6,"NO"
0,1,0,1,0,0,0,"NO"
3,1,14,0,6,3,15,"NO"
35,1,72,0,17,36,130,"YES"
0,1,0,0,0,0,0,"NO"
5,1,4,4,7,6,14,"YES"
65,1,107,0,24,171,196,"YES"
72,1,149,0,18,171,244,"YES"
62,1,147,0,19,153,369,"YES"
73,1,171,0,20,136,399,"YES"
22,1,72,2,14,45,94,"NO"
46,1,66,0,9,171,160,"NO"
5,3,9,0,6,1,19,"NO"
7,1,8,0,6,6,28,"NO"
1,1,3,0,2,0,4,"NO"
0,1,0,0,0,0,0,"NO"
0,1,1,0,1,0,0,"NO"
49,2,118,0,16,78,198,"YES"
7,1,18,0,5,1,27,"NO"
6,1,16,0,9,3,32,"NO"
23,2,46,0,18,15,107,"NO"
2,1,8,0,2,1,6,"NO"
67,1,107,2,15,78,210,"YES"
126,2,174,1,28,210,456,"YES"
44,1,69,0,13,136,140,"YES"
10,2,18,0,7,28,30,"YES"
288,3,677,0,46,2145,1434,"YES"
1,1,3,0,2,0,4,"NO"
64,1,137,0,16,171,289,"NO"
28,2,58,0,17,91,138,"YES"
15,1,72,0,17,6,97,"NO"
146,1,331,0,23,630,596,"YES"
52,2,67,0,12,190,124,"NO"
48,1,68,0,16,55,182,"NO"
0,2,0,0,0,0,0,"NO"
22,1,18,0,10,15,88,"YES"
2,1,10,0,2,1,15,"NO"
48,1,79,6,26,28,214,"NO"
11,1,18,0,21,3,33,"NO"
187,1,268,0,39,300,535,"YES"
1,1,7,0,4,0,7,"NO"
85,2,138,0,20,120,231,"YES"
0,1,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,"NO"
0,1,1,0,1,0,0,"NO"
264,1,350,1,39,1035,862,"YES"
21,1,36,0,11,36,61,"YES"
31,1,49,0,11,120,110,"NO"
4,1,5,0,1,6,14,"YES"
117,1,196,0,26,496,393,"YES"
39,2,58,0,13,66,112,"YES"
37,1,72,0,26,45,169,"YES"
28,1,104,0,28,171,200,"YES"
5,1,8,0,4,3,13,"NO"
6,1,11,0,7,10,23,"NO"
142,1,295,2,57,1953,712,"YES"
14,1,16,0,2,28,54,"NO"
0,1,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,"NO"
18,1,59,0,17,6,89,"NO"
2,1,8,0,4,1,9,"NO"
22,2,22,0,7,36,63,"NO"
2,1,3,0,1,1,6,"NO"
2,1,18,0,2,1,26,"NO"
0,1,0,0,0,0,0,"NO"
300,1,605,0,54,1128,1217,"YES"
34,1,39,0,15,28,81,"YES"
44,1,71,0,7,28,130,"NO"
17,1,22,0,7,55,68,"YES"
1,1,2,0,1,0,3,"NO"
10,2,24,0,7,21,45,"YES"
4,1,5,1,20,6,13,"YES"
11,1,18,0,4,15,48,"YES"
31,1,49,1,11,210,103,"YES"
69,1,120,0,23,91,318,"NO"
3,2,3,0,2,3,10,"NO"
0,1,0,0,0,0,0,"NO"
8,1,18,0,2,1,47,"NO"
82,1,70,0,13,231,285,"NO"
2,1,8,0,2,1,6,"NO"
11,2,22,0,5,6,33,"YES"
56,1,99,0,27,105,203,"YES"
165,1,397,0,26,666,610,"NO"
18,3,18,0,10,36,33,"YES"
26,1,33,0,7,45,90,"YES"
2,1,6,0,4,1,10,"YES"
9,1,17,0,5,6,38,"YES"
149,1,220,0,35,595,654,"YES"
2,1,8,0,2,1,6,"NO"
29,1,63,0,14,45,108,"NO"
36,1,37,3,11,190,97,"NO"
13,1,26,1,3,21,44,"YES"
2,1,3,0,1,1,6,"NO"
10,2,14,1,5,21,28,"YES"
2,1,3,0,8,1,4,"YES"
40,1,63,0,12,28,134,"YES"
30,1,85,0,19,78,124,"YES"
2,1,2,0,8,1,6,"YES"
10,1,20,0,6,3,59,"YES"
26,2,36,0,17,21,77,"NO"
54,2,108,0,23,190,209,"YES"
40,1,82,0,21,120,208,"YES"
22,1,31,0,10,21,79,"NO"
15,1,25,0,1,15,52,"YES"
0,1,0,0,0,0,0,"NO"
59,1,78,0,11,66,246,"YES"
16,1,16,0,7,28,45,"NO"
1,1,2,0,1,0,3,"NO"
86,1,114,1,38,1225,248,"YES"
2,1,8,0,2,1,6,"NO"
1,1,1,1,0,0,3,"NO"
52,1,66,0,7,55,141,"NO"
5,1,10,0,8,6,25,"NO"
1,1,2,0,1,0,3,"NO"
60,1,114,0,34,528,252,"YES"
58,3,71,0,17,78,128,"YES"
30,3,36,0,4,45,66,"YES"
49,3,42,0,15,21,117,"YES"
3,1,3,0,27,3,11,"YES"
4,1,10,0,4,6,21,"NO"
40,2,57,0,14,190,142,"YES"
286,3,566,0,67,2016,1041,"YES"
8,2,15,0,6,1,22,"NO"
32,1,40,1,29,55,130,"YES"
2,1,10,0,2,1,15,"NO"
11,1,14,0,3,55,37,"YES"
7,1,8,0,7,10,24,"NO"
29,1,31,0,5,10,99,"NO"
1,1,2,0,1,0,3,"NO"
0,2,1,0,1,0,0,"NO"
38,1,74,0,2,703,114,"YES"
0,1,0,0,0,0,0,"NO"
2,1,18,0,2,1,26,"NO"
6,2,10,0,5,10,17,"NO"
10,1,21,0,1,55,30,"NO"
19,2,27,0,11,3,54,"YES"
91,1,205,0,24,406,424,"NO"
36,1,66,1,12,190,114,"YES"
38,1,77,0,28,253,144,"NO"
5,1,16,1,7,36,16,"NO"
52,1,73,0,25,153,159,"YES"
72,1,128,0,26,153,257,"NO"
24,2,36,0,6,6,86,"YES"
10,1,17,0,9,6,47,"YES"
102,2,217,0,29,741,367,"YES"
9,1,19,0,2,45,28,"YES"
8,1,18,0,7,28,31,"YES"
2,1,8,0,2,1,6,"NO"
2,1,8,0,4,1,9,"NO"
15,1,27,0,4,36,56,"NO"
19,1,41,0,4,105,94,"NO"
8,1,26,0,9,3,28,"NO"
0,1,0,0,0,0,0,"NO"
42,1,60,0,9,36,148,"NO"
0,1,1,0,1,0,0,"NO"
12,2,16,0,5,15,25,"NO"
10,2,12,0,2,28,31,"YES"
211,1,385,2,38,2016,705,"YES"
42,2,101,0,11,120,177,"NO"
5,1,9,0,4,1,13,"YES"
2,1,8,0,2,1,6,"NO"
49,2,60,0,12,136,186,"YES"
18,1,23,0,5,45,71,"NO"
29,2,52,0,19,21,122,"YES"
3,1,5,0,3,1,11,"NO"
3,1,3,0,0,3,12,"YES"
27,1,17,0,5,15,95,"NO"
1,1,1,0,2,0,4,"NO"
9,1,10,0,7,6,39,"YES"
2,1,8,0,2,1,6,"NO"
0,2,0,0,0,0,0,"NO"
4,1,18,0,5,3,21,"NO"
1,1,3,0,2,0,4,"NO"
0,1,1,0,1,0,0,"NO"
3,2,8,0,5,1,11,"NO"
39,1,78,0,10,36,107,"NO"
