"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
29,3,59,0,17,55,170,"YES"
177,1,263,0,34,2415,829,"YES"
46,1,99,0,179,120,138,"NO"
10,1,12,0,5,3,40,"NO"
3,1,7,0,5,0,19,"NO"
66,1,72,0,128,465,240,"NO"
1,2,1,0,0,0,4,"NO"
51,2,32,0,1,21,345,"NO"
13,1,20,0,6,21,44,"YES"
60,2,57,3,16,231,182,"NO"
37,1,120,0,23,66,182,"NO"
3,1,5,0,5,1,13,"NO"
2,2,5,0,2,1,6,"NO"
6,1,11,0,4,10,20,"NO"
9,1,26,0,8,1,40,"NO"
0,1,2,1,2,1,0,"NO"
18,3,30,2,65,36,61,"NO"
16,2,34,0,4,28,86,"NO"
13,1,24,0,6,45,54,"NO"
15,1,8,0,4,1,76,"YES"
10,4,33,0,8,3,39,"NO"
4,3,10,0,3,1,14,"NO"
33,3,44,2,8,78,107,"NO"
10,1,18,0,6,1,44,"NO"
13,3,15,3,3,10,55,"YES"
2,4,4,0,2,1,7,"NO"
24,2,64,4,9,105,73,"NO"
1,2,2,6,1,0,3,"NO"
18,1,35,7,74,153,64,"YES"
5,1,15,0,4,1,34,"NO"
10,1,25,0,11,3,56,"NO"
18,2,35,0,14,3,130,"YES"
4,3,6,0,4,1,19,"NO"
4,4,6,0,3,3,9,"NO"
21,3,34,0,11,66,144,"NO"
6,3,27,0,7,3,39,"NO"
0,1,5,1,2,10,0,"NO"
6,2,12,0,4,1,35,"NO"
7,1,41,1,23,15,87,"NO"
1,1,1,0,1,0,3,"NO"
2,1,9,0,6,1,18,"NO"
2,1,8,0,2,3,13,"NO"
67,2,156,0,10,325,267,"NO"
8,2,18,0,3,28,28,"NO"
12,4,14,0,2,1,36,"NO"
3,2,6,0,3,3,13,"NO"
4,3,8,0,5,1,15,"NO"
4,2,12,0,6,3,17,"NO"
9,2,13,0,3,15,30,"NO"
48,1,124,6,153,1225,214,"YES"
13,1,43,0,9,1,78,"NO"
217,1,103,0,4,190,604,"NO"
10,3,17,0,3,3,45,"YES"
3,2,9,0,3,6,9,"NO"
3,2,6,0,3,3,10,"NO"
6,1,12,0,11,15,23,"NO"
15,2,24,2,5,36,63,"NO"
4,1,5,0,0,6,13,"NO"
8,1,12,9,13,3,29,"YES"
43,2,53,0,14,45,229,"NO"
6,1,7,0,2,1,19,"NO"
0,1,4,1,2,6,0,"NO"
4,1,9,33,50,15,12,"YES"
10,1,29,0,12,1,58,"NO"
1,1,6,0,3,1,10,"NO"
262,2,137,0,1,561,1501,"NO"
20,1,7,0,8,1,115,"NO"
10,1,19,0,6,1,51,"NO"
7,4,9,0,5,1,28,"NO"
2,2,2,3,1,1,6,"YES"
4,1,19,0,6,3,31,"NO"
2,3,8,0,5,1,19,"NO"
64,2,123,0,16,276,174,"YES"
155,2,92,0,1,66,866,"NO"
8,1,18,1,5,6,43,"NO"
6,2,11,0,4,10,30,"NO"
0,1,2,3,1,1,0,"NO"
2,1,2,0,2,1,12,"NO"
8,2,14,0,12,10,20,"NO"
0,1,4,4,26,6,0,"NO"
21,2,63,0,9,91,102,"NO"
46,1,105,0,20,45,214,"NO"
16,1,18,0,74,45,37,"NO"
47,1,78,0,12,6,206,"NO"
24,1,28,0,4,3,87,"NO"
2,3,9,0,3,1,12,"NO"
2,1,5,0,2,0,18,"NO"
6,3,10,0,2,15,10,"NO"
10,2,12,0,3,21,42,"NO"
18,1,32,1,29,55,63,"NO"
27,1,43,0,13,6,163,"NO"
50,2,63,0,6,91,166,"YES"
31,1,52,0,8,78,128,"NO"
8,3,18,0,6,10,34,"NO"
5,2,8,0,2,3,39,"NO"
6,3,7,0,2,1,27,"NO"
24,1,29,0,8,3,90,"NO"
0,1,1,0,6,0,0,"NO"
179,1,177,0,15,496,574,"NO"
7,1,12,0,4,15,18,"NO"
3,2,10,0,4,3,15,"NO"
7,1,17,4,29,78,22,"YES"
6,1,6,0,7,10,20,"NO"
15,1,18,1,3,28,50,"NO"
0,1,0,0,0,0,0,"NO"
6,3,6,0,0,15,18,"NO"
10,2,17,0,3,28,58,"NO"
5,2,11,0,3,3,25,"NO"
4,3,13,0,5,1,19,"NO"
28,2,44,2,9,78,88,"NO"
21,2,19,0,4,6,59,"NO"
4,4,5,0,3,1,10,"NO"
12,2,50,1,10,21,97,"NO"
36,3,51,0,6,66,135,"NO"
8,3,13,0,4,10,43,"NO"
5,4,6,0,4,3,13,"NO"
5,1,7,0,2,1,21,"NO"
2,1,11,0,6,1,23,"NO"
206,2,127,0,1,136,1131,"NO"
18,1,16,0,6,66,51,"NO"
2,1,3,0,1,1,4,"NO"
5,2,9,0,4,10,19,"NO"
30,2,36,4,7,78,131,"NO"
32,1,52,0,18,78,107,"YES"
39,1,55,0,8,105,154,"YES"
17,1,20,0,3,153,51,"NO"
72,2,89,0,11,253,240,"NO"
5,2,6,0,2,10,13,"NO"
9,2,33,0,4,21,53,"NO"
10,2,13,0,4,15,62,"NO"
2,2,4,0,2,1,7,"NO"
21,2,64,0,8,91,102,"NO"
23,1,46,1,5,21,132,"NO"
18,1,62,0,8,6,154,"NO"
1,1,7,1,1,15,3,"NO"
25,1,56,0,26,28,167,"NO"
14,3,17,0,3,6,56,"NO"
31,3,41,0,5,36,98,"NO"
14,2,28,0,8,10,53,"NO"
16,1,39,0,8,55,50,"NO"
2,1,4,0,2,1,6,"NO"
14,2,18,0,1,28,58,"NO"
4,2,5,0,2,1,9,"NO"
3,2,6,0,3,6,10,"NO"
43,1,128,0,20,136,226,"NO"
1,1,1,0,0,0,3,"NO"
2,1,4,6,6,6,6,"NO"
1,1,18,0,8,0,35,"NO"
0,1,6,2,1,15,0,"NO"
4,1,22,0,11,1,37,"NO"
16,2,23,0,5,45,64,"NO"
17,1,26,0,5,6,57,"NO"
3,1,3,1,6,3,11,"NO"
21,1,45,0,7,6,77,"NO"
47,1,38,0,6,190,256,"NO"
0,1,4,2,2,6,0,"NO"
0,1,2,1,2,1,0,"NO"
174,1,221,0,20,903,583,"NO"
9,2,15,0,4,21,35,"NO"
79,1,2,0,2,0,225,"NO"
10,1,10,0,4,6,26,"NO"
9,2,24,0,8,0,49,"NO"
140,2,85,0,1,78,877,"NO"
19,1,29,0,7,45,77,"NO"
10,3,17,0,6,15,27,"NO"
17,3,13,0,14,15,49,"YES"
479,2,312,0,1,861,2864,"NO"
2,4,3,0,19,1,6,"NO"
3,1,14,0,4,1,32,"NO"
3,1,16,0,6,1,22,"NO"
0,1,4,1,1,6,0,"NO"
12,1,14,0,6,10,44,"NO"
24,2,68,0,18,15,141,"NO"
7,1,7,0,4,21,29,"NO"
7,2,12,0,3,10,37,"NO"
5,2,14,0,2,55,14,"NO"
2,3,3,0,0,1,5,"YES"
12,2,23,0,3,15,51,"YES"
12,1,38,0,9,1,70,"NO"
1,1,3,0,2,1,3,"NO"
15,1,33,0,9,10,64,"NO"
17,2,41,0,10,21,73,"NO"
1,1,1,0,3,0,3,"NO"
7,3,12,0,10,6,19,"NO"
8,2,12,0,5,15,30,"YES"
7,2,35,0,6,3,48,"NO"
4,1,15,0,8,1,32,"NO"
18,1,5,0,2,3,27,"NO"
30,1,84,0,16,153,165,"NO"
16,1,58,0,14,21,98,"NO"
26,3,31,0,5,15,133,"NO"
19,1,24,0,3,91,75,"NO"
68,1,105,0,18,496,285,"NO"
6,2,10,0,6,3,31,"NO"
4,3,6,0,4,1,19,"NO"
10,3,16,0,2,0,46,"NO"
18,1,22,0,2,6,46,"NO"
5,3,9,0,4,1,12,"NO"
0,1,2,3,8,1,0,"NO"
4,1,6,0,4,3,21,"NO"
39,1,84,1,8,253,189,"NO"
162,2,104,0,1,66,919,"NO"
3,2,8,0,4,1,13,"NO"
8,1,6,0,9,3,20,"NO"
18,3,36,0,6,36,94,"NO"
4,2,4,0,1,6,11,"NO"
219,2,150,0,1,91,1295,"NO"
12,2,16,0,11,28,30,"NO"
1,1,1,0,2,0,3,"NO"
58,1,123,0,4,28,171,"NO"
57,2,84,0,9,378,215,"YES"
13,3,36,0,8,21,68,"NO"
3,4,5,0,3,3,10,"NO"
2,3,4,0,6,1,10,"NO"
2,1,8,2,2,15,6,"NO"
15,2,36,0,6,15,63,"NO"
24,1,37,12,46,120,89,"NO"
7,3,6,0,2,10,28,"NO"
4,2,3,0,2,1,25,"NO"
244,1,284,1,24,1081,822,"NO"
3,1,9,6,42,15,7,"NO"
6,3,11,0,4,3,44,"NO"
139,1,77,0,6,231,422,"NO"
16,2,7,0,2,10,73,"NO"
10,2,19,3,8,45,32,"NO"
1,1,6,1,2,15,3,"NO"
8,3,13,0,3,3,32,"YES"
25,3,38,1,13,78,111,"YES"
12,1,25,3,11,66,30,"NO"
61,2,67,0,9,78,270,"NO"
7,2,9,0,3,10,32,"NO"
8,3,13,0,4,10,43,"NO"
8,3,15,0,6,6,29,"NO"
4,1,4,0,3,6,13,"NO"
4,3,8,0,5,1,20,"NO"
6,3,7,0,2,15,20,"NO"
9,1,9,0,10,10,38,"NO"
12,3,25,0,7,21,35,"NO"
58,2,79,2,6,136,258,"NO"
33,2,95,0,9,10,209,"NO"
18,3,31,0,13,66,98,"NO"
