"wmc","dit","rfc","noc","cbo","lcom","loc","isBug"
8,1,18,0,16,15,42,"NO"
14,1,29,0,7,36,60,"NO"
4,2,5,0,6,6,13,"NO"
3,2,6,0,2,6,12,"NO"
5,4,4,0,1,6,12,"NO"
33,3,33,0,4,91,78,"NO"
21,1,17,0,2,105,57,"NO"
3,2,8,0,4,1,16,"NO"
20,1,56,0,10,3,95,"NO"
3,1,3,0,3,3,10,"NO"
16,1,19,0,7,120,53,"NO"
57,1,90,0,5,153,211,"NO"
15,1,23,0,3,28,56,"NO"
2,2,5,0,1,1,6,"NO"
8,1,15,0,2,15,40,"NO"
6,2,17,0,7,1,26,"NO"
10,1,32,0,4,21,38,"NO"
8,1,16,0,8,6,81,"NO"
14,2,23,5,7,6,50,"NO"
1,3,2,0,5,0,3,"NO"
1,1,2,1,1,1,2,"NO"
53,2,91,0,13,120,214,"NO"
30,1,64,0,20,28,115,"NO"
15,1,23,0,11,28,57,"NO"
18,1,59,0,11,91,83,"NO"
16,2,53,0,8,6,84,"NO"
6,1,8,0,2,10,19,"NO"
2,2,2,0,1,1,6,"NO"
7,4,8,0,4,15,23,"NO"
23,1,45,0,1,105,122,"NO"
16,2,36,4,6,15,91,"YES"
5,1,12,0,2,0,48,"NO"
2,1,9,0,4,1,14,"NO"
1,1,2,0,0,0,3,"NO"
5,1,10,0,2,1,36,"NO"
30,2,40,0,12,15,115,"NO"
16,2,52,0,12,21,109,"NO"
4,1,3,0,1,1,9,"NO"
1,1,8,0,3,0,6,"NO"
3,2,5,0,2,6,9,"NO"
28,1,84,0,29,105,146,"YES"
32,1,98,0,11,136,483,"NO"
13,1,34,0,8,28,89,"NO"
2,2,7,0,2,3,12,"NO"
1,1,2,0,0,0,3,"NO"
9,2,46,0,9,21,69,"NO"
139,1,185,0,7,15,373,"YES"
6,2,11,0,1,1,26,"NO"
33,1,56,0,15,105,313,"NO"
2,1,22,0,6,1,57,"NO"
5,1,4,0,3,1,15,"NO"
60,2,150,0,23,91,303,"YES"
5,2,16,0,5,3,27,"NO"
1,3,1,0,1,0,3,"NO"
10,1,22,0,3,36,46,"NO"
18,1,18,1,6,21,72,"NO"
32,1,44,0,6,28,89,"YES"
4,1,12,0,8,1,27,"NO"
8,2,27,0,8,3,33,"NO"
92,3,124,4,120,2485,294,"NO"
10,1,33,0,11,15,138,"YES"
11,1,13,0,1,6,58,"NO"
