"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
65,8,608,158,9.35385,566,158,8.70769,42,15,0.646154,"NO"
2,2,10,10,5,0,0,0,10,10,5,"NO"
120,12,1361,99,11.3417,768,77,6.4,593,66,4.94167,"YES"
28,5,138,39,4.92857,123,39,4.39286,15,23,0.535714,"NO"
93,8,1870,684,20.1075,1881,692,20.2258,-11,18,-0.11828,"NO"
16,5,37,6,2.3125,17,6,1.0625,20,4,1.25,"NO"
30,5,535,142,17.8333,74,13,2.46667,461,142,15.3667,"NO"
7,2,14,7,2,29,27,4.14286,-15,4,-2.14286,"NO"
52,7,1075,343,20.6731,889,343,17.0962,186,68,3.57692,"NO"
23,6,122,42,5.30435,138,42,6,-16,16,-0.695652,"NO"
25,5,228,82,9.12,61,8,2.44,167,74,6.68,"NO"
11,3,193,81,17.5455,12,4,1.09091,181,81,16.4545,"NO"
32,5,219,89,6.84375,207,89,6.46875,12,11,0.375,"NO"
52,5,991,226,19.0577,633,148,12.1731,358,161,6.88462,"NO"
13,4,91,31,7,49,14,3.76923,42,17,3.23077,"NO"
9,4,11,5,1.22222,10,5,1.11111,1,1,0.111111,"NO"
193,12,6571,1071,34.0466,6072,1123,31.4611,499,174,2.58549,"YES"
12,5,228,53,19,162,35,13.5,66,40,5.5,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
91,9,6880,1627,75.6044,5271,1359,57.9231,1609,583,17.6813,"YES"
35,7,405,155,11.5714,409,155,11.6857,-4,12,-0.114286,"NO"
6,3,104,49,17.3333,6,4,1,98,49,16.3333,"NO"
43,6,409,105,9.51163,317,110,7.37209,92,79,2.13953,"YES"
168,10,2126,307,12.6548,1719,307,10.2321,407,63,2.42262,"YES"
20,7,115,14,5.75,175,94,8.75,-60,5,-3,"NO"
92,9,2972,319,32.3043,3264,892,35.4783,-292,168,-3.17391,"YES"
76,7,1763,600,23.1974,1852,600,24.3684,-89,43,-1.17105,"YES"
54,7,740,243,13.7037,669,243,12.3889,71,85,1.31481,"NO"
4,4,18,17,4.5,7,6,1.75,11,11,2.75,"NO"
149,11,5262,483,35.3154,4660,483,31.2752,602,226,4.04027,"NO"
2,2,1,1,0.5,1,1,0.5,0,0,0,"NO"
10,3,60,32,6,61,33,6.1,-1,0,-0.1,"NO"
47,5,320,52,6.80851,262,52,5.57447,58,20,1.23404,"NO"
37,6,284,64,7.67568,258,64,6.97297,26,22,0.702703,"NO"
82,8,2577,325,31.4268,2733,325,33.3293,-156,81,-1.90244,"YES"
29,5,184,69,6.34483,185,69,6.37931,-1,6,-0.0344828,"NO"
39,7,465,167,11.9231,264,167,6.76923,201,74,5.15385,"NO"
7,1,23,11,3.28571,6,4,0.857143,17,10,2.42857,"NO"
89,9,2001,399,22.4831,1889,399,21.2247,112,117,1.25843,"YES"
81,9,1835,349,22.6543,1569,379,19.3704,266,79,3.28395,"YES"
32,4,413,92,12.9062,122,26,3.8125,291,80,9.09375,"NO"
58,7,1851,721,31.9138,1730,721,29.8276,121,77,2.08621,"NO"
86,8,1629,335,18.9419,1535,335,17.8488,94,65,1.09302,"NO"
2,2,1,1,0.5,1,1,0.5,0,0,0,"NO"
24,4,167,70,6.95833,174,70,7.25,-7,8,-0.291667,"NO"
11,6,21,4,1.90909,17,4,1.54545,4,3,0.363636,"NO"
7,2,139,75,19.8571,28,13,4,111,63,15.8571,"NO"
10,6,16,5,1.6,28,18,2.8,-12,5,-1.2,"NO"
7,1,12,4,1.71429,10,4,1.42857,2,2,0.285714,"NO"
18,6,211,84,11.7222,53,14,2.94444,158,84,8.77778,"NO"
224,12,6579,1041,29.3705,5717,1041,25.5223,862,146,3.84821,"YES"
10,2,86,60,8.6,62,51,6.2,24,9,2.4,"NO"
12,5,233,165,19.4167,78,34,6.5,155,131,12.9167,"NO"
15,5,121,69,8.06667,119,69,7.93333,2,6,0.133333,"NO"
27,5,152,42,5.62963,182,32,6.74074,-30,41,-1.11111,"NO"
73,8,2096,439,28.7123,1160,439,15.8904,936,282,12.8219,"NO"
50,8,574,115,11.48,707,115,14.14,-133,14,-2.66,"YES"
26,6,112,54,4.30769,89,54,3.42308,23,7,0.884615,"NO"
60,7,986,170,16.4333,1102,170,18.3667,-116,35,-1.93333,"YES"
3,1,149,149,49.6667,149,149,49.6667,0,149,0,"NO"
14,5,53,9,3.78571,61,9,4.35714,-8,0,-0.571429,"NO"
37,6,177,65,4.78378,167,65,4.51351,10,11,0.27027,"NO"
16,4,151,30,9.4375,109,31,6.8125,42,19,2.625,"NO"
110,9,1350,176,12.2727,1190,176,10.8182,160,30,1.45455,"NO"
31,6,571,152,18.4194,578,152,18.6452,-7,6,-0.225806,"NO"
10,3,29,9,2.9,30,10,3,-1,0,-0.1,"NO"
84,8,2092,395,24.9048,1163,62,13.8452,929,395,11.0595,"YES"
14,4,279,92,19.9286,43,10,3.07143,236,88,16.8571,"NO"
61,8,667,241,10.9344,705,241,11.5574,-38,5,-0.622951,"YES"
36,5,842,188,23.3889,593,97,16.4722,249,123,6.91667,"NO"
13,4,74,29,5.69231,50,29,3.84615,24,29,1.84615,"NO"
50,8,271,42,5.42,217,42,4.34,54,27,1.08,"NO"
49,7,405,136,8.26531,338,136,6.89796,67,17,1.36735,"NO"
28,7,407,225,14.5357,365,225,13.0357,42,32,1.5,"YES"
74,8,1181,247,15.9595,1310,247,17.7027,-129,33,-1.74324,"YES"
9,4,17,4,1.88889,21,6,2.33333,-4,0,-0.444444,"NO"
6,3,148,71,24.6667,6,4,1,142,71,23.6667,"NO"
