"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
5,2,185,95,37,24,20,4.8,161,95,32.2,"NO"
10,7,22,10,2.2,12,3,1.2,10,10,1,"NO"
2,2,8,8,4,15,15,7.5,-7,0,-3.5,"NO"
2,2,10,10,5,18,18,9,-8,0,-4,"NO"
5,3,14,6,2.8,11,5,2.2,3,2,0.6,"NO"
75,5,1019,107,13.5867,1267,559,16.8933,-248,104,-3.30667,"NO"
410,8,2715,81,6.62195,1242,326,3.02927,1473,81,3.59268,"YES"
10,5,42,17,4.2,38,18,3.8,4,3,0.4,"NO"
8,3,21,10,2.625,20,6,2.5,1,10,0.125,"NO"
5,3,12,8,2.4,51,46,10.2,-39,6,-7.8,"NO"
6,3,82,50,13.6667,48,42,8,34,50,5.66667,"YES"
8,5,107,49,13.375,82,63,10.25,25,33,3.125,"NO"
5,3,14,8,2.8,10,8,2,4,8,0.8,"NO"
9,4,79,32,8.77778,53,42,5.88889,26,26,2.88889,"NO"
7,4,314,106,44.8571,131,88,18.7143,183,91,26.1429,"NO"
6,3,94,39,15.6667,7,5,1.16667,87,39,14.5,"NO"
17,1,44,9,2.58824,13,7,0.764706,31,8,1.82353,"NO"
45,8,986,179,21.9111,735,150,16.3333,251,91,5.57778,"YES"
1,1,0,0,0,0,0,0,0,0,0,"NO"
12,7,81,47,6.75,71,41,5.91667,10,6,0.833333,"NO"
31,4,472,105,15.2258,674,378,21.7419,-202,75,-6.51613,"NO"
17,1,126,23,7.41176,397,326,23.3529,-271,22,-15.9412,"NO"
36,5,176,17,4.88889,208,37,5.77778,-32,15,-0.888889,"NO"
39,4,627,185,16.0769,417,91,10.6923,210,185,5.38462,"YES"
5,3,15,11,3,13,11,2.6,2,1,0.4,"YES"
15,3,440,191,29.3333,68,45,4.53333,372,191,24.8,"YES"
61,8,592,62,9.70492,743,176,12.1803,-151,53,-2.47541,"YES"
18,5,706,157,39.2222,268,160,14.8889,438,121,24.3333,"NO"
6,3,22,10,3.66667,9,6,1.5,13,10,2.16667,"NO"
3,3,21,11,7,19,19,6.33333,2,10,0.666667,"NO"
4,3,18,10,4.5,15,9,3.75,3,2,0.75,"NO"
54,9,775,195,14.3519,594,127,11,181,79,3.35185,"NO"
12,4,277,116,23.0833,114,58,9.5,163,116,13.5833,"NO"
12,2,94,34,7.83333,40,23,3.33333,54,34,4.5,"NO"
34,8,204,30,6,168,38,4.94118,36,10,1.05882,"NO"
42,9,657,203,15.6429,466,141,11.0952,191,194,4.54762,"YES"
5,3,8,4,1.6,9,6,1.8,-1,1,-0.2,"NO"
24,4,937,640,39.0417,629,564,26.2083,308,640,12.8333,"NO"
7,4,28,10,4,15,5,2.14286,13,10,1.85714,"NO"
10,5,52,18,5.2,38,20,3.8,14,11,1.4,"NO"
2,2,14,14,7,21,21,10.5,-7,0,-3.5,"NO"
5,2,242,118,48.4,37,23,7.4,205,118,41,"NO"
10,6,42,10,4.2,37,9,3.7,5,3,0.5,"NO"
7,3,106,49,15.1429,35,14,5,71,49,10.1429,"NO"
16,7,204,75,12.75,108,71,6.75,96,69,6,"NO"
12,7,96,54,8,97,52,8.08333,-1,4,-0.0833333,"YES"
5,4,17,10,3.4,8,6,1.6,9,10,1.8,"YES"
5,2,41,11,8.2,37,35,7.4,4,10,0.8,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
2,1,80,80,40,0,0,0,80,80,40,"NO"
15,5,196,45,13.0667,118,51,7.86667,78,43,5.2,"NO"
28,7,136,25,4.85714,146,30,5.21429,-10,12,-0.357143,"NO"
5,4,53,24,10.6,49,25,9.8,4,10,0.8,"NO"
8,5,41,17,5.125,34,17,4.25,7,10,0.875,"NO"
4,2,26,11,6.5,18,13,4.5,8,9,2,"NO"
13,5,410,130,31.5385,90,33,6.92308,320,130,24.6154,"NO"
32,4,254,78,7.9375,122,50,3.8125,132,74,4.125,"NO"
2,2,5,5,2.5,8,8,4,-3,0,-1.5,"NO"
20,7,110,24,5.5,107,26,5.35,3,22,0.15,"NO"
2,2,1,1,0.5,2,2,1,-1,0,-0.5,"NO"
49,5,910,216,18.5714,481,162,9.81633,429,210,8.7551,"NO"
7,4,34,15,4.85714,28,24,4,6,15,0.857143,"NO"
3,3,16,15,5.33333,15,14,5,1,1,0.333333,"NO"
29,5,613,232,21.1379,416,170,14.3448,197,199,6.7931,"YES"
11,4,26,10,2.36364,33,23,3,-7,10,-0.636364,"NO"
4,2,53,40,13.25,79,66,19.75,-26,0,-6.5,"NO"
19,4,889,224,46.7895,135,102,7.10526,754,224,39.6842,"YES"
7,2,216,100,30.8571,15,9,2.14286,201,100,28.7143,"NO"
35,8,293,76,8.37143,286,104,8.17143,7,22,0.2,"NO"
38,8,715,146,18.8158,671,125,17.6579,44,82,1.15789,"NO"
10,3,123,52,12.3,16,6,1.6,107,52,10.7,"NO"
4,2,21,13,5.25,48,37,12,-27,0,-6.75,"NO"
10,1,257,86,25.7,83,66,8.3,174,85,17.4,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
48,7,920,132,19.1667,1041,305,21.6875,-121,78,-2.52083,"NO"
6,3,10,4,1.66667,10,4,1.66667,0,2,0,"NO"
2,2,3,3,1.5,4,4,2,-1,0,-0.5,"NO"
13,5,53,13,4.07692,40,11,3.07692,13,10,1,"NO"
