"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
2,1,10,10,5,0,0,0,10,10,5,"NO"
18,7,1431,532,79.5,1131,552,62.8333,300,394,16.6667,"NO"
14,4,342,130,24.4286,337,123,24.0714,5,8,0.357143,"YES"
4,2,3,3,0.75,49,44,12.25,-46,0,-11.5,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
14,2,195,82,13.9286,97,73,6.92857,98,27,7,"NO"
7,3,211,95,30.1429,88,43,12.5714,123,95,17.5714,"NO"
11,5,102,31,9.27273,83,40,7.54545,19,27,1.72727,"YES"
7,3,100,42,14.2857,15,7,2.14286,85,38,12.1429,"NO"
13,4,1117,492,85.9231,1187,520,91.3077,-70,8,-5.38462,"YES"
3,2,1,1,0.333333,1,1,0.333333,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
10,5,206,169,20.6,83,36,8.3,123,133,12.3,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
44,3,2587,2021,58.7955,2332,2011,53,255,65,5.79545,"YES"
1,1,0,0,0,0,0,0,0,0,0,"NO"
8,1,499,237,62.375,19,10,2.375,480,237,60,"NO"
9,6,74,49,8.22222,102,50,11.3333,-28,0,-3.11111,"NO"
2,1,7,7,3.5,1,1,0.5,6,6,3,"YES"
1,1,0,0,0,0,0,0,0,0,0,"NO"
7,1,123,55,17.5714,23,10,3.28571,100,54,14.2857,"NO"
5,1,150,73,30,3,3,0.6,147,73,29.4,"NO"
9,6,29,8,3.22222,28,9,3.11111,1,5,0.111111,"NO"
7,1,265,195,37.8571,148,100,21.1429,117,95,16.7143,"YES"
4,2,28,17,7,28,18,7,0,9,0,"YES"
1,1,0,0,0,0,0,0,0,0,0,"YES"
2,2,1,1,0.5,2,2,1,-1,0,-0.5,"NO"
7,3,13,8,1.85714,21,9,3,-8,0,-1.14286,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
13,3,316,122,24.3077,147,94,11.3077,169,122,13,"NO"
37,7,599,79,16.1892,302,73,8.16216,297,76,8.02703,"NO"
32,6,546,125,17.0625,546,122,17.0625,0,41,0,"YES"
9,1,51,19,5.66667,16,4,1.77778,35,19,3.88889,"NO"
18,5,143,93,7.94444,84,34,4.66667,59,59,3.27778,"YES"
55,6,1135,308,20.6364,509,110,9.25454,626,198,11.3818,"YES"
4,1,20,18,5,4,2,1,16,16,4,"NO"
15,5,59,15,3.93333,53,35,3.53333,6,8,0.4,"YES"
6,5,20,12,3.33333,24,16,4,-4,0,-0.666667,"NO"
11,2,210,131,19.0909,171,121,15.5455,39,32,3.54545,"YES"
17,4,499,201,29.3529,437,166,25.7059,62,35,3.64706,"YES"
18,6,196,49,10.8889,147,38,8.16667,49,20,2.72222,"YES"
17,6,112,70,6.58824,135,86,7.94118,-23,4,-1.35294,"YES"
10,5,175,131,17.5,222,174,22.2,-47,6,-4.7,"NO"
6,1,249,113,41.5,36,33,6,213,113,35.5,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
13,7,204,102,15.6923,160,118,12.3077,44,40,3.38462,"NO"
13,3,415,162,31.9231,149,126,11.4615,266,162,20.4615,"YES"
14,6,139,33,9.92857,70,20,5,69,25,4.92857,"YES"
1,1,0,0,0,0,0,0,0,0,0,"NO"
13,2,175,118,13.4615,90,32,6.92308,85,107,6.53846,"NO"
2,1,2,2,1,2,2,1,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
16,4,1064,372,66.5,1148,441,71.75,-84,38,-5.25,"YES"
12,1,436,142,36.3333,48,29,4,388,142,32.3333,"YES"
10,2,35,7,3.5,23,5,2.3,12,7,1.2,"YES"
1,1,0,0,0,0,0,0,0,0,0,"NO"
6,1,78,29,13,16,11,2.66667,62,28,10.3333,"YES"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
14,5,114,42,8.14286,148,41,10.5714,-34,19,-2.42857,"YES"
9,5,194,140,21.5556,204,161,22.6667,-10,13,-1.11111,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
