"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
12,6,12,1,1,12,1,1,0,0,0,"YES"
49,3,2311,644,47.1633,3683,2030,75.1633,-1372,218,-28,"YES"
32,10,424,58,13.25,238,51,7.4375,186,51,5.8125,"NO"
2,2,2,1,1,2,1,1,0,0,0,"NO"
2,1,2,1,1,2,1,1,0,0,0,"NO"
24,9,999,468,41.625,251,69,10.4583,748,420,31.1667,"NO"
7,4,30,20,4.28571,19,9,2.71429,11,11,1.57143,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
14,7,134,36,9.57143,22,5,1.57143,112,33,8,"YES"
6,3,349,274,58.1667,283,274,47.1667,66,38,11,"NO"
10,4,422,324,42.2,342,324,34.2,80,49,8,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
5,3,5,1,1,5,1,1,0,0,0,"NO"
6,4,14,6,2.33333,13,6,2.16667,1,2,0.166667,"NO"
3,2,3,1,1,3,1,1,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
36,11,291,39,8.08333,297,51,8.25,-6,39,-0.166667,"NO"
2,1,2,1,1,2,1,1,0,0,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"YES"
3,2,76,42,25.3333,45,42,15,31,31,10.3333,"NO"
8,5,79,26,9.875,119,51,14.875,-40,1,-5,"NO"
18,8,322,120,17.8889,269,82,14.9444,53,38,2.94444,"NO"
9,4,83,32,9.22222,72,29,8,11,32,1.22222,"NO"
10,6,84,27,8.4,107,51,10.7,-23,9,-2.3,"YES"
4,3,52,48,13,60,48,15,-8,0,-2,"NO"
3,3,8,6,2.66667,7,5,2.33333,1,1,0.333333,"NO"
2,1,17,16,8.5,2,1,1,15,15,7.5,"NO"
22,6,241,45,10.9545,128,51,5.81818,113,45,5.13636,"YES"
2,2,2,1,1,4,3,2,-2,0,-1,"NO"
7,2,37,16,5.28571,26,12,3.71429,11,15,1.57143,"NO"
2,1,3,2,1.5,11,10,5.5,-8,0,-4,"YES"
3,3,9,8,3,15,13,5,-6,0,-2,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
11,7,108,26,9.81818,22,8,2,86,22,7.81818,"NO"
3,2,82,43,27.3333,46,43,15.3333,36,36,12,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
3,3,7,6,2.33333,8,5,2.66667,-1,1,-0.333333,"NO"
9,2,60,29,6.66667,4,1,0.444444,56,28,6.22222,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
3,2,18,16,6,5,3,1.66667,13,15,4.33333,"NO"
3,2,1,1,0.333333,2,1,0.666667,-1,0,-0.333333,"NO"
22,7,413,118,18.7727,138,23,6.27273,275,113,12.5,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
4,2,13,6,3.25,9,5,2.25,4,4,1,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
12,7,69,17,5.75,67,51,5.58333,2,17,0.166667,"NO"
9,6,59,16,6.55556,61,51,6.77778,-2,14,-0.222222,"NO"
95,13,1990,132,20.9474,1099,202,11.5684,891,98,9.37895,"YES"
2,2,2,1,1,2,1,1,0,0,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
3,3,20,16,6.66667,18,16,6,2,2,0.666667,"YES"
4,2,80,59,20,15,11,3.75,65,48,16.25,"NO"
3,2,45,43,15,45,43,15,0,0,0,"NO"
3,2,92,85,30.6667,344,258,114.667,-252,0,-84,"NO"
2,2,16,15,8,44,43,22,-28,0,-14,"NO"
2,2,56,55,28,13,12,6.5,43,43,21.5,"NO"
20,8,184,50,9.2,165,51,8.25,19,25,0.95,"YES"
2,1,61,60,30.5,41,40,20.5,20,20,10,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
11,8,78,28,7.09091,88,51,8,-10,27,-0.909091,"YES"
6,3,64,38,10.6667,10,5,1.66667,54,38,9,"NO"
3,2,18,16,6,5,3,1.66667,13,15,4.33333,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
5,5,13,6,2.6,12,5,2.4,1,1,0.2,"NO"
10,7,39,13,3.9,75,51,7.5,-36,3,-3.6,"NO"
81,10,1262,128,15.5802,890,108,10.9877,372,51,4.59259,"YES"
2,1,2,1,1,2,1,1,0,0,0,"NO"
3,1,25,16,8.33333,22,20,7.33333,3,15,1,"NO"
4,2,122,119,30.5,60,57,15,62,62,15.5,"YES"
1,1,1,1,1,1,1,1,0,0,0,"NO"
2,1,15,14,7.5,6,5,3,9,9,4.5,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
4,1,10,5,2.5,7,3,1.75,3,3,0.75,"NO"
4,3,29,13,7.25,61,51,15.25,-32,5,-8,"NO"
5,5,11,6,2.2,11,5,2.2,0,1,0,"NO"
1,1,1,1,1,1,1,1,0,0,0,"NO"
3,1,3,1,1,3,1,1,0,0,0,"NO"
3,2,3,1,1,3,1,1,0,0,0,"NO"
14,8,73,13,5.21429,73,51,5.21429,0,11,0,"NO"
