"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
7,2,22,10,3.14286,8,3,1.14286,14,10,2,"NO"
14,3,60,33,4.28571,45,26,3.21429,15,7,1.07143,"NO"
10,2,13,5,1.3,15,5,1.5,-2,4,-0.2,"NO"
3,2,6,4,2,8,6,2.66667,-2,0,-0.666667,"NO"
4,2,7,4,1.75,7,4,1.75,0,3,0,"NO"
9,2,219,191,24.3333,240,212,26.6667,-21,7,-2.33333,"NO"
3,2,1,1,0.333333,0,0,0,1,1,0.333333,"NO"
3,1,0,0,0,0,0,0,0,0,0,"NO"
39,3,281,98,7.20513,245,37,6.28205,36,61,0.923077,"NO"
6,2,10,5,1.66667,9,4,1.5,1,4,0.166667,"NO"
6,2,14,4,2.33333,11,4,1.83333,3,3,0.5,"NO"
8,2,22,8,2.75,19,8,2.375,3,4,0.375,"NO"
3,1,0,0,0,0,0,0,0,0,0,"NO"
4,1,2,2,0.5,34,32,8.5,-32,0,-8,"NO"
11,3,78,14,7.09091,63,14,5.72727,15,12,1.36364,"NO"
21,3,112,58,5.33333,109,58,5.19048,3,58,0.142857,"NO"
3,1,5,4,1.66667,2,1,0.666667,3,3,1,"NO"
32,3,103,23,3.21875,71,9,2.21875,32,21,1,"NO"
10,2,155,102,15.5,154,104,15.4,1,102,0.1,"NO"
5,2,7,4,1.4,6,4,1.2,1,1,0.2,"NO"
6,3,7,4,1.16667,7,3,1.16667,0,3,0,"NO"
2,1,1,1,0.5,5,5,2.5,-4,0,-2,"NO"
3,1,21,16,7,11,9,3.66667,10,7,3.33333,"NO"
26,3,147,45,5.65385,109,43,4.19231,38,21,1.46154,"NO"
5,2,35,15,7,14,9,2.8,21,14,4.2,"NO"
10,3,133,90,13.3,21,5,2.1,112,89,11.2,"NO"
13,2,99,43,7.61538,55,42,4.23077,44,42,3.38462,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
4,2,6,4,1.5,3,1,0.75,3,3,0.75,"NO"
3,1,7,5,2.33333,3,2,1,4,4,1.33333,"NO"
7,2,28,8,4,22,8,3.14286,6,5,0.857143,"YES"
2,1,2,2,1,2,2,1,0,0,0,"NO"
7,3,25,11,3.57143,11,4,1.57143,14,7,2,"NO"
3,1,31,31,10.3333,31,31,10.3333,0,31,0,"NO"
7,2,15,6,2.14286,17,8,2.42857,-2,3,-0.285714,"NO"
7,3,11,4,1.57143,8,2,1.14286,3,3,0.428571,"NO"
23,3,121,27,5.26087,71,15,3.08696,50,21,2.17391,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
6,2,35,19,5.83333,19,11,3.16667,16,8,2.66667,"NO"
1,1,0,0,0,0,0,0,0,0,0,"YES"
4,2,68,63,17,67,65,16.75,1,3,0.25,"NO"
15,2,74,33,4.93333,40,9,2.66667,34,24,2.26667,"NO"
3,1,3,2,1,4,4,1.33333,-1,1,-0.333333,"NO"
2,1,0,0,0,2,2,1,-2,0,-1,"NO"
13,2,88,40,6.76923,30,11,2.30769,58,40,4.46154,"NO"
15,3,495,112,33,310,156,20.6667,185,61,12.3333,"YES"
4,1,4,3,1,4,3,1,0,0,0,"NO"
12,2,45,20,3.75,37,12,3.08333,8,8,0.666667,"NO"
5,2,6,4,1.2,3,1,0.6,3,3,0.6,"NO"
8,2,23,7,2.875,21,9,2.625,2,3,0.25,"NO"
14,2,215,108,15.3571,156,60,11.1429,59,94,4.21429,"YES"
4,2,10,5,2.5,6,4,1.5,4,4,1,"NO"
3,2,5,3,1.66667,5,3,1.66667,0,0,0,"NO"
5,2,17,9,3.4,13,8,2.6,4,3,0.8,"NO"
5,1,139,131,27.8,134,131,26.8,5,131,1,"NO"
2,1,0,0,0,5,5,2.5,-5,0,-2.5,"YES"
13,2,40,10,3.07692,39,15,3,1,5,0.0769231,"NO"
4,3,6,4,1.5,3,1,0.75,3,3,0.75,"NO"
34,3,208,83,6.11765,300,106,8.82353,-92,71,-2.70588,"NO"
1,1,0,0,0,0,0,0,0,0,0,"YES"
3,2,14,13,4.66667,14,13,4.66667,0,0,0,"NO"
22,3,142,50,6.45455,186,115,8.45454,-44,13,-2,"NO"
5,1,149,127,29.8,19,11,3.8,130,127,26,"YES"
14,2,111,37,7.92857,96,24,6.85714,15,13,1.07143,"NO"
6,3,19,9,3.16667,13,9,2.16667,6,4,1,"NO"
9,2,17,4,1.88889,25,16,2.77778,-8,3,-0.888889,"NO"
2,1,1,1,0.5,1,1,0.5,0,0,0,"NO"
148,3,1921,340,12.9797,1555,335,10.5068,366,130,2.47297,"YES"
4,2,8,6,2,6,4,1.5,2,5,0.5,"NO"
16,3,45,8,2.8125,35,5,2.1875,10,4,0.625,"NO"
3,2,14,10,4.66667,11,10,3.66667,3,3,1,"NO"
13,3,47,13,3.61538,43,11,3.30769,4,3,0.307692,"NO"
3,2,5,4,1.66667,2,1,0.666667,3,3,1,"NO"
14,2,104,38,7.42857,51,21,3.64286,53,17,3.78571,"NO"
2,1,6,6,3,6,6,3,0,0,0,"NO"
6,2,22,8,3.66667,22,8,3.66667,0,4,0,"NO"
52,3,1225,388,23.5577,755,373,14.5192,470,250,9.03846,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
20,3,124,47,6.2,49,11,2.45,75,45,3.75,"NO"
6,3,59,26,9.83333,133,86,22.1667,-74,10,-12.3333,"NO"
9,2,19,5,2.11111,16,5,1.77778,3,4,0.333333,"NO"
13,3,29,6,2.23077,21,4,1.61538,8,5,0.615385,"NO"
45,3,460,92,10.2222,694,278,15.4222,-234,41,-5.2,"NO"
12,2,65,25,5.41667,25,13,2.08333,40,25,3.33333,"NO"
32,3,250,77,7.8125,268,73,8.375,-18,69,-0.5625,"NO"
5,2,7,4,1.4,6,4,1.2,1,1,0.2,"NO"
21,2,222,55,10.5714,171,33,8.14286,51,28,2.42857,"NO"
1,1,0,0,0,0,0,0,0,0,0,"NO"
4,1,13,10,3.25,3,2,0.75,10,10,2.5,"NO"
4,2,8,4,2,4,2,1,4,3,1,"NO"
3,2,5,4,1.66667,2,1,0.666667,3,3,1,"NO"
9,2,20,5,2.22222,20,5,2.22222,0,3,0,"NO"
4,2,5,4,1.25,3,1,0.75,2,3,0.5,"NO"
3,2,8,4,2.66667,8,4,2.66667,0,0,0,"NO"
11,2,55,28,5,37,22,3.36364,18,11,1.63636,"NO"
8,2,13,4,1.625,9,4,1.125,4,3,0.5,"NO"
7,3,53,29,7.57143,277,251,39.5714,-224,14,-32,"NO"
7,2,43,27,6.14286,33,24,4.71429,10,4,1.42857,"NO"
1,1,0,0,0,0,0,0,0,0,0,"YES"
