"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
20,6,556,223,27.8,342,0,17.1,214,145,10.7,"NO"
3,2,80,77,26.6666666666667,7,0,2.33333333333333,73,71,24.3333333333333,"NO"
4,3,75,63,18.75,31,0,7.75,44,43,11,"NO"
4,3,45,35,11.25,22,0,5.5,23,22,5.75,"NO"
5,4,32,22,6.4,27,0,5.4,5,6,1,"NO"
22,6,293,97,13.3181818181818,167,0,7.59090909090909,126,77,5.72727272727273,"NO"
8,5,140,55,17.5,68,0,8.5,72,29,9,"NO"
1,1,307,307,307,0,0,0,307,307,307,"NO"
11,7,563,222,51.1818181818182,573,0,52.0909090909091,-10,91,-0.909090909090909,"NO"
2,1,70,67,35,2,0,1,68,67,34,"NO"
4,3,10,6,2.5,3,0,0.75,7,6,1.75,"YES"
6,5,99,76,16.5,61,0,10.1666666666667,38,31,6.33333333333333,"NO"
21,7,464,260,22.0952380952381,221,0,10.5238095238095,243,231,11.5714285714286,"NO"
4,4,36,33,9,10,0,2.5,26,26,6.5,"NO"
22,8,419,120,19.0454545454545,162,0,7.36363636363636,257,85,11.6818181818182,"YES"
6,5,43,29,7.16666666666667,9,0,1.5,34,28,5.66666666666667,"NO"
9,5,106,62,11.7777777777778,33,0,3.66666666666667,73,60,8.11111111111111,"NO"
35,7,1490,680,42.5714285714286,445,0,12.7142857142857,1045,467,29.8571428571429,"NO"
3,2,18,15,6,12,0,4,6,5,2,"NO"
27,8,920,589,34.0740740740741,1187,0,43.962962962963,-267,544,-9.88888888888889,"NO"
7,5,126,72,18,23,0,3.28571428571429,103,57,14.7142857142857,"NO"
11,5,224,178,20.3636363636364,32,0,2.90909090909091,192,170,17.4545454545455,"NO"
6,4,184,123,30.6666666666667,36,0,6,148,93,24.6666666666667,"NO"
11,4,89,34,8.09090909090909,24,0,2.18181818181818,65,32,5.90909090909091,"YES"
3,3,18,12,6,9,0,3,9,5,3,"NO"
19,8,287,66,15.1052631578947,105,0,5.52631578947368,182,41,9.57894736842105,"NO"
22,7,306,92,13.9090909090909,123,0,5.59090909090909,183,89,8.31818181818182,"YES"
8,3,267,207,33.375,30,0,3.75,237,207,29.625,"NO"
5,3,124,106,24.8,13,0,2.6,111,106,22.2,"NO"
3,3,75,65,25,1,0,0.333333333333333,74,65,24.6666666666667,"NO"
5,3,228,187,45.6,34,0,6.8,194,187,38.8,"NO"
4,3,86,57,21.5,111,0,27.75,-25,11,-6.25,"NO"
4,3,116,76,29,104,0,26,12,17,3,"NO"
5,4,285,225,57,27,0,5.4,258,225,51.6,"NO"
4,3,264,208,66,26,0,6.5,238,208,59.5,"NO"
4,3,221,183,55.25,20,0,5,201,183,50.25,"NO"
5,4,372,299,74.4,37,0,7.4,335,299,67,"NO"
7,3,63,33,9,105,0,15,-42,17,-6,"NO"
6,3,118,65,19.6666666666667,123,0,20.5,-5,23,-0.833333333333333,"NO"
4,3,215,176,53.75,24,0,6,191,176,47.75,"NO"
4,3,278,227,69.5,27,0,6.75,251,227,62.75,"NO"
4,3,216,178,54,23,0,5.75,193,178,48.25,"NO"
4,3,258,218,64.5,22,0,5.5,236,218,59,"NO"
4,3,237,234,59.25,2,0,0.5,235,234,58.75,"NO"
2,2,103,103,51.5,0,0,0,103,103,51.5,"NO"
8,5,1250,1169,156.25,93,0,11.625,1157,1169,144.625,"NO"
1,1,67,67,67,32,0,32,35,35,35,"NO"
1,1,19,19,19,44,0,44,-25,0,-25,"NO"
1,1,37,37,37,32,0,32,5,5,5,"NO"
1,1,31,31,31,38,0,38,-7,0,-7,"NO"
2,1,62,58,31,35,0,17.5,27,26,13.5,"NO"
3,2,284,265,94.6666666666667,6,0,2,278,265,92.6666666666667,"NO"
10,6,302,240,30.2,65,0,6.5,237,240,23.7,"NO"
