"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
1,1,33,33,33,0,0,0,33,33,33,"NO"
20,2,256,54,12.8,253,0,12.65,3,29,0.15,"YES"
1,1,41,41,41,0,0,0,41,41,41,"NO"
3,2,138,113,46,4,0,1.33333333333333,134,112,44.6666666666667,"NO"
13,2,78,26,6,31,0,2.38461538461538,47,26,3.61538461538462,"NO"
2,1,4,3,2,5,0,2.5,-1,0,-0.5,"NO"
3,1,33,16,11,0,0,0,33,16,11,"NO"
21,1,154,40,7.33333333333333,62,0,2.95238095238095,92,40,4.38095238095238,"NO"
1,1,38,38,38,0,0,0,38,38,38,"NO"
18,1,186,68,10.3333333333333,50,0,2.77777777777778,136,68,7.55555555555556,"NO"
1,1,14,14,14,10,0,10,4,4,4,"NO"
2,1,19,12,9.5,31,0,15.5,-12,6,-6,"NO"
1,1,11,11,11,13,0,13,-2,0,-2,"NO"
1,1,34,34,34,0,0,0,34,34,34,"NO"
3,1,49,47,16.3333333333333,0,0,0,49,47,16.3333333333333,"NO"
9,3,150,76,16.6666666666667,31,0,3.44444444444444,119,76,13.2222222222222,"YES"
1,1,40,40,40,0,0,0,40,40,40,"NO"
3,2,14,11,4.66666666666667,18,0,6,-4,2,-1.33333333333333,"NO"
1,1,52,52,52,0,0,0,52,52,52,"NO"
1,1,21,21,21,6,0,6,15,15,15,"NO"
5,1,54,33,10.8,3,0,0.6,51,33,10.2,"NO"
7,1,43,30,6.14285714285714,7,0,1,36,30,5.14285714285714,"YES"
3,1,16,13,5.33333333333333,11,0,3.66666666666667,5,4,1.66666666666667,"NO"
1,1,34,34,34,0,0,0,34,34,34,"NO"
1,1,12,12,12,13,0,13,-1,0,-1,"NO"
6,2,107,39,17.8333333333333,27,0,4.5,80,39,13.3333333333333,"NO"
3,1,40,39,13.3333333333333,1,0,0.333333333333333,39,39,13,"NO"
2,1,40,38,20,0,0,0,40,38,20,"NO"
1,1,14,14,14,14,0,14,0,0,0,"NO"
2,1,17,10,8.5,4,0,2,13,10,6.5,"NO"
3,1,16,12,5.33333333333333,16,0,5.33333333333333,0,1,0,"NO"
9,1,145,107,16.1111111111111,35,0,3.88888888888889,110,107,12.2222222222222,"NO"
3,1,24,16,8,0,0,0,24,16,8,"NO"
8,1,219,84,27.375,40,0,5,179,84,22.375,"NO"
8,1,109,49,13.625,23,0,2.875,86,49,10.75,"NO"
4,1,43,29,10.75,11,0,2.75,32,29,8,"NO"
7,1,241,131,34.4285714285714,62,0,8.85714285714286,179,131,25.5714285714286,"NO"
4,1,46,42,11.5,3,0,0.75,43,42,10.75,"NO"
3,1,58,44,19.3333333333333,10,0,3.33333333333333,48,44,16,"NO"
8,1,169,69,21.125,46,0,5.75,123,69,15.375,"NO"
5,1,86,69,17.2,32,0,6.4,54,69,10.8,"NO"
4,1,10,6,2.5,3,0,0.75,7,4,1.75,"NO"
4,1,13,8,3.25,24,0,6,-11,1,-2.75,"NO"
5,1,14,8,2.8,7,0,1.4,7,7,1.4,"NO"
