"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
1,1,520,520,520,0,0,0,520,520,520,"NO"
1,1,183,183,183,0,0,0,183,183,183,"NO"
1,1,81,81,81,0,0,0,81,81,81,"NO"
1,1,52,52,52,0,0,0,52,52,52,"NO"
1,1,137,137,137,0,0,0,137,137,137,"NO"
1,1,130,130,130,0,0,0,130,130,130,"NO"
1,1,151,151,151,0,0,0,151,151,151,"NO"
1,1,215,215,215,0,0,0,215,215,215,"NO"
1,1,87,87,87,0,0,0,87,87,87,"NO"
1,1,203,203,203,0,0,0,203,203,203,"NO"
1,1,141,141,141,0,0,0,141,141,141,"NO"
1,1,64,64,64,0,0,0,64,64,64,"NO"
1,1,77,77,77,0,0,0,77,77,77,"NO"
1,1,76,76,76,0,0,0,76,76,76,"NO"
1,1,63,63,63,0,0,0,63,63,63,"NO"
1,1,82,82,82,0,0,0,82,82,82,"NO"
1,1,155,155,155,0,0,0,155,155,155,"NO"
1,1,139,139,139,0,0,0,139,139,139,"NO"
1,1,125,125,125,0,0,0,125,125,125,"NO"
1,1,66,66,66,0,0,0,66,66,66,"NO"
1,1,74,74,74,0,0,0,74,74,74,"NO"
1,1,215,215,215,0,0,0,215,215,215,"NO"
1,1,45,45,45,0,0,0,45,45,45,"NO"
1,1,55,55,55,0,0,0,55,55,55,"NO"
1,1,51,51,51,0,0,0,51,51,51,"NO"
1,1,53,53,53,0,0,0,53,53,53,"NO"
1,1,49,49,49,0,0,0,49,49,49,"NO"
1,1,109,109,109,0,0,0,109,109,109,"NO"
1,1,60,60,60,0,0,0,60,60,60,"NO"
1,1,55,55,55,0,0,0,55,55,55,"NO"
1,1,153,153,153,0,0,0,153,153,153,"NO"
1,1,127,127,127,0,0,0,127,127,127,"NO"
1,1,122,122,122,0,0,0,122,122,122,"NO"
1,1,120,120,120,0,0,0,120,120,120,"NO"
1,1,90,90,90,0,0,0,90,90,90,"NO"
1,1,99,99,99,0,0,0,99,99,99,"NO"
1,1,77,77,77,0,0,0,77,77,77,"NO"
1,1,330,330,330,0,0,0,330,330,330,"NO"
1,1,207,207,207,0,0,0,207,207,207,"NO"
1,1,123,123,123,0,0,0,123,123,123,"NO"
1,1,125,125,125,0,0,0,125,125,125,"NO"
1,1,39,39,39,0,0,0,39,39,39,"NO"
1,1,106,106,106,0,0,0,106,106,106,"NO"
1,1,55,55,55,0,0,0,55,55,55,"NO"
1,1,173,173,173,0,0,0,173,173,173,"NO"
2,1,994,994,497,3,0,1.5,991,994,495.5,"NO"
1,1,47,47,47,0,0,0,47,47,47,"NO"
1,1,123,123,123,0,0,0,123,123,123,"NO"
1,1,251,251,251,0,0,0,251,251,251,"NO"
1,1,205,205,205,0,0,0,205,205,205,"NO"
1,1,879,879,879,0,0,0,879,879,879,"NO"
1,1,67,67,67,0,0,0,67,67,67,"NO"
2,1,1190,1150,595,19,0,9.5,1171,1150,585.5,"NO"
1,1,82,82,82,0,0,0,82,82,82,"NO"
1,1,245,245,245,0,0,0,245,245,245,"NO"
1,1,6665,6665,6665,0,0,0,6665,6665,6665,"NO"
1,1,253,253,253,0,0,0,253,253,253,"NO"
1,1,1999,1999,1999,0,0,0,1999,1999,1999,"NO"
1,1,83,83,83,0,0,0,83,83,83,"NO"
1,1,789,789,789,0,0,0,789,789,789,"NO"
1,1,978,978,978,0,0,0,978,978,978,"NO"
1,1,42,42,42,0,0,0,42,42,42,"NO"
1,1,88,88,88,0,0,0,88,88,88,"NO"
1,1,49,49,49,0,0,0,49,49,49,"NO"
1,1,216,216,216,0,0,0,216,216,216,"NO"
1,1,120,120,120,0,0,0,120,120,120,"NO"
1,1,190,190,190,0,0,0,190,190,190,"NO"
1,1,224,224,224,0,0,0,224,224,224,"NO"
1,1,82,82,82,0,0,0,82,82,82,"NO"
1,1,133,133,133,0,0,0,133,133,133,"NO"
1,1,181,181,181,0,0,0,181,181,181,"NO"
1,1,117,117,117,0,0,0,117,117,117,"NO"
1,1,191,191,191,0,0,0,191,191,191,"NO"
1,1,84,84,84,0,0,0,84,84,84,"NO"
1,1,243,243,243,0,0,0,243,243,243,"NO"
1,1,4381,4381,4381,0,0,0,4381,4381,4381,"NO"
1,1,59,59,59,0,0,0,59,59,59,"NO"
1,1,43,43,43,0,0,0,43,43,43,"NO"
1,1,131,131,131,0,0,0,131,131,131,"NO"
1,1,142,142,142,0,0,0,142,142,142,"NO"
1,1,45,45,45,0,0,0,45,45,45,"NO"
1,1,43,43,43,0,0,0,43,43,43,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,1316,1316,1316,0,0,0,1316,1316,1316,"NO"
1,1,164,164,164,0,0,0,164,164,164,"NO"
1,1,121,121,121,0,0,0,121,121,121,"NO"
1,1,117,117,117,0,0,0,117,117,117,"NO"
1,1,245,245,245,0,0,0,245,245,245,"NO"
1,1,114,114,114,0,0,0,114,114,114,"NO"
1,1,491,491,491,0,0,0,491,491,491,"NO"
1,1,69,69,69,0,0,0,69,69,69,"NO"
1,1,54,54,54,0,0,0,54,54,54,"NO"
1,1,53,53,53,0,0,0,53,53,53,"NO"
1,1,72,72,72,0,0,0,72,72,72,"NO"
