"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
2,1,114,110,57,4,0,2,110,110,55,"YES"
3,1,298,283,99.3333333333333,10,0,3.33333333333333,288,283,96,"NO"
2,1,272,255,136,13,0,6.5,259,255,129.5,"YES"
5,1,313,291,62.6,22,0,4.4,291,291,58.2,"YES"
8,1,1072,1003,134,42,0,5.25,1030,1003,128.75,"YES"
2,1,42,41,21,1,0,0.5,41,41,20.5,"NO"
2,1,23,14,11.5,2,0,1,21,14,10.5,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
5,1,478,467,95.6,15,0,3,463,467,92.6,"YES"
6,1,233,101,38.8333333333333,14,0,2.33333333333333,219,101,36.5,"YES"
8,1,391,364,48.875,32,0,4,359,364,44.875,"YES"
2,1,82,78,41,4,0,2,78,78,39,"NO"
4,1,387,383,96.75,4,0,1,383,383,95.75,"YES"
3,1,550,536,183.333333333333,14,0,4.66666666666667,536,536,178.666666666667,"YES"
3,1,178,171,59.3333333333333,3,0,1,175,171,58.3333333333333,"YES"
7,1,713,620,101.857142857143,86,0,12.2857142857143,627,620,89.5714285714286,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,1,19,18,9.5,1,0,0.5,18,18,9,"NO"
2,1,269,264,134.5,5,0,2.5,264,264,132,"YES"
2,1,76,74,38,2,0,1,74,74,37,"NO"
4,1,246,241,61.5,5,0,1.25,241,241,60.25,"NO"
2,1,264,240,132,24,0,12,240,240,120,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,1,358,341,179,11,0,5.5,347,341,173.5,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
3,1,241,221,80.3333333333333,14,0,4.66666666666667,227,221,75.6666666666667,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,1,290,277,145,11,0,5.5,279,277,139.5,"NO"
2,1,104,94,52,3,0,1.5,101,94,50.5,"NO"
2,1,118,107,59,4,0,2,114,107,57,"NO"
3,1,147,138,49,4,0,1.33333333333333,143,138,47.6666666666667,"NO"
2,1,119,116,59.5,3,0,1.5,116,116,58,"NO"
2,1,60,57,30,3,0,1.5,57,57,28.5,"NO"
2,1,144,142,72,2,0,1,142,142,71,"YES"
2,1,182,173,91,9,0,4.5,173,173,86.5,"NO"
2,1,76,68,38,1,0,0.5,75,68,37.5,"NO"
2,1,90,88,45,2,0,1,88,88,44,"YES"
2,1,37,36,18.5,1,0,0.5,36,36,18,"NO"
2,1,95,94,47.5,1,0,0.5,94,94,47,"NO"
2,1,60,55,30,4,0,2,56,55,28,"YES"
3,1,120,116,40,3,0,1,117,116,39,"YES"
3,1,45,43,15,2,0,0.666666666666667,43,43,14.3333333333333,"NO"
2,1,82,80,41,2,0,1,80,80,40,"YES"
5,1,353,317,70.6,17,0,3.4,336,317,67.2,"YES"
2,1,104,102,52,2,0,1,102,102,51,"NO"
2,1,526,514,263,12,0,6,514,514,257,"YES"
2,1,69,66,34.5,3,0,1.5,66,66,33,"NO"
2,1,55,47,27.5,2,0,1,53,47,26.5,"NO"
2,1,51,49,25.5,2,0,1,49,49,24.5,"NO"
2,1,79,78,39.5,1,0,0.5,78,78,39,"NO"
2,1,59,56,29.5,3,0,1.5,56,56,28,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
4,1,187,89,46.75,21,0,5.25,166,80,41.5,"NO"
5,1,119,61,23.8,16,0,3.2,103,61,20.6,"NO"
7,1,422,339,60.2857142857143,31,0,4.42857142857143,391,339,55.8571428571429,"YES"
1,1,6,6,6,5,0,5,1,1,1,"NO"
2,1,416,408,208,8,0,4,408,408,204,"YES"
5,1,104,90,20.8,9,0,1.8,95,90,19,"NO"
5,1,261,95,52.2,49,0,9.8,212,88,42.4,"YES"
2,1,378,368,189,10,0,5,368,368,184,"YES"
4,1,53,39,13.25,6,0,1.5,47,39,11.75,"NO"
2,1,63,54,31.5,3,0,1.5,60,54,30,"NO"
