"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
2,2,34,33,17,21,0,10.5,13,13,6.5,"NO"
6,4,335,139,55.8333333333333,81,0,13.5,254,139,42.3333333333333,"NO"
8,2,229,124,28.625,196,0,24.5,33,50,4.125,"NO"
5,2,75,40,15,68,0,13.6,7,14,1.4,"NO"
5,2,79,42,15.8,71,0,14.2,8,15,1.6,"NO"
3,2,143,128,47.6666666666667,44,0,14.6666666666667,99,128,33,"NO"
5,2,53,36,10.6,54,0,10.8,-1,21,-0.2,"NO"
5,2,54,39,10.8,53,0,10.6,1,21,0.2,"NO"
5,2,60,39,12,61,0,12.2,-1,20,-0.2,"NO"
9,2,337,163,37.4444444444444,350,0,38.8888888888889,-13,33,-1.44444444444444,"YES"
8,2,619,283,77.375,523,0,65.375,96,56,12,"YES"
5,2,60,32,12,56,0,11.2,4,14,0.8,"YES"
9,2,364,165,40.4444444444444,236,0,26.2222222222222,128,59,14.2222222222222,"YES"
7,2,158,89,22.5714285714286,148,0,21.1428571428571,10,41,1.42857142857143,"NO"
9,2,325,157,36.1111111111111,243,0,27,82,55,9.11111111111111,"YES"
5,2,641,369,128.2,304,0,60.8,337,369,67.4,"NO"
3,2,225,208,75,2,0,0.666666666666667,223,208,74.3333333333333,"NO"
5,2,59,39,11.8,60,0,12,-1,21,-0.2,"NO"
6,2,134,73,22.3333333333333,129,0,21.5,5,22,0.833333333333333,"NO"
6,3,382,188,63.6666666666667,347,0,57.8333333333333,35,81,5.83333333333333,"NO"
6,2,341,191,56.8333333333333,229,0,38.1666666666667,112,116,18.6666666666667,"NO"
4,2,138,72,34.5,142,0,35.5,-4,13,-1,"NO"
18,4,200,108,11.1111111111111,214,0,11.8888888888889,-14,16,-0.777777777777778,"NO"
2,2,2,1,1,1,0,0.5,1,1,0.5,"YES"
2,2,2,1,1,1,0,0.5,1,1,0.5,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
7,4,120,90,17.1428571428571,38,0,5.42857142857143,82,86,11.7142857142857,"NO"
2,2,2,1,1,2,0,1,0,0,0,"NO"
2,2,11,10,5.5,15,0,7.5,-4,0,-2,"NO"
5,4,260,192,52,69,0,13.8,191,139,38.2,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,158,157,79,1,0,0.5,157,157,78.5,"NO"
2,2,73,72,36.5,1,0,0.5,72,72,36,"NO"
2,2,3,2,1.5,3,0,1.5,0,0,0,"YES"
3,3,4,2,1.33333333333333,4,0,1.33333333333333,0,0,0,"NO"
2,2,3,2,1.5,3,0,1.5,0,0,0,"NO"
2,2,2,1,1,2,0,1,0,0,0,"YES"
1,1,1,1,1,1,0,1,0,0,0,"NO"
14,5,1101,649,78.6428571428571,168,0,12,933,649,66.6428571428571,"YES"
1,1,11,11,11,0,0,0,11,11,11,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
26,6,839,147,32.2692307692308,152,0,5.84615384615385,687,143,26.4230769230769,"YES"
26,7,800,268,30.7692307692308,386,0,14.8461538461538,414,102,15.9230769230769,"YES"
4,3,267,148,66.75,13,0,3.25,254,148,63.5,"NO"
4,2,55,40,13.75,44,0,11,11,13,2.75,"NO"
4,2,25,15,6.25,14,0,3.5,11,8,2.75,"NO"
4,2,67,43,16.75,39,0,9.75,28,14,7,"NO"
4,2,614,542,153.5,58,0,14.5,556,542,139,"NO"
4,2,130,82,32.5,84,0,21,46,32,11.5,"NO"
4,2,49,35,12.25,38,0,9.5,11,12,2.75,"NO"
4,2,25,15,6.25,14,0,3.5,11,8,2.75,"NO"
2,2,13,12,6.5,1,0,0.5,12,12,6,"YES"
1,1,1,1,1,1,0,1,0,0,0,"NO"
4,2,37,25,9.25,27,0,6.75,10,10,2.5,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
3,2,20,10,6.66666666666667,6,0,2,14,9,4.66666666666667,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
5,3,35,11,7,6,0,1.2,29,11,5.8,"NO"
5,5,381,187,76.2,194,0,38.8,187,186,37.4,"NO"
5,3,92,73,18.4,24,0,4.8,68,60,13.6,"NO"
2,2,8,7,4,1,0,0.5,7,7,3.5,"NO"
2,2,8,7,4,1,0,0.5,7,7,3.5,"NO"
4,2,43,30,10.75,32,0,8,11,11,2.75,"NO"
3,2,8,4,2.66666666666667,3,0,1,5,3,1.66666666666667,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
4,2,43,30,10.75,32,0,8,11,11,2.75,"NO"
1,1,1,1,1,1,0,1,0,0,0,"YES"
2,2,12,11,6,1,0,0.5,11,11,5.5,"NO"
4,3,23,10,5.75,13,0,3.25,10,10,2.5,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
1,1,38,38,38,0,0,0,38,38,38,"NO"
3,2,3,1,1,5,0,1.66666666666667,-2,0,-0.666666666666667,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
4,2,25,15,6.25,14,0,3.5,11,8,2.75,"NO"
4,2,43,30,10.75,32,0,8,11,11,2.75,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
2,2,8,7,4,1,0,0.5,7,7,3.5,"NO"
4,2,25,15,6.25,14,0,3.5,11,8,2.75,"NO"
2,2,9,8,4.5,1,0,0.5,8,8,4,"NO"
2,2,8,7,4,1,0,0.5,7,7,3.5,"NO"
2,2,12,11,6,1,0,0.5,11,11,5.5,"NO"
2,2,7,6,3.5,1,0,0.5,6,6,3,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
2,2,4,3,2,4,0,2,0,0,0,"NO"
2,2,51,50,25.5,18,0,9,33,33,16.5,"NO"
2,1,2,1,1,3,0,1.5,-1,0,-0.5,"YES"
5,3,472,230,94.4,242,0,48.4,230,229,46,"NO"
4,2,418,208,104.5,210,0,52.5,208,207,52,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
4,2,49,35,12.25,38,0,9.5,11,12,2.75,"NO"
4,2,25,15,6.25,14,0,3.5,11,8,2.75,"NO"
4,2,5,2,1.25,3,0,0.75,2,2,0.5,"NO"
