"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
1,1,2,2,2,2,0,2,0,0,0,"NO"
2,2,5,4,2.5,5,0,2.5,0,0,0,"NO"
1,1,4,4,4,4,0,4,0,0,0,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
4,2,76,43,19,16,0,4,60,30,15,"NO"
17,5,345,150,20.2941176470588,166,0,9.76470588235294,179,60,10.5294117647059,"YES"
1,1,1,1,1,1,0,1,0,0,0,"NO"
15,4,70,17,4.66666666666667,16,0,1.06666666666667,54,17,3.6,"YES"
0,0,0,0,0,0,0,0,0,0,0,"YES"
5,2,40,11,8,9,0,1.8,31,9,6.2,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
6,2,213,117,35.5,61,0,10.1666666666667,152,111,25.3333333333333,"YES"
6,4,128,59,21.3333333333333,75,0,12.5,53,27,8.83333333333333,"YES"
5,3,50,35,10,16,0,3.2,34,33,6.8,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
6,3,33,25,5.5,33,0,5.5,0,4,0,"YES"
3,3,7,4,2.33333333333333,4,0,1.33333333333333,3,3,1,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,2,1,1,0,0,0,2,1,1,"NO"
4,1,15,12,3.75,17,0,4.25,-2,12,-0.5,"NO"
6,3,24,10,4,54,0,9,-30,2,-5,"NO"
4,3,48,29,12,37,0,9.25,11,23,2.75,"NO"
6,2,126,118,21,13,0,2.16666666666667,113,118,18.8333333333333,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
7,2,50,27,7.14285714285714,26,0,3.71428571428571,24,11,3.42857142857143,"NO"
7,2,37,20,5.28571428571429,21,0,3,16,8,2.28571428571429,"NO"
6,3,157,103,26.1666666666667,23,0,3.83333333333333,134,103,22.3333333333333,"NO"
7,3,104,76,14.8571428571429,14,0,2,90,76,12.8571428571429,"NO"
1,1,4,4,4,4,0,4,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,10,10,10,6,0,6,4,4,4,"NO"
1,1,11,11,11,7,0,7,4,4,4,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,2,2,2,2,0,2,0,0,0,"NO"
2,2,26,23,13,21,0,10.5,5,3,2.5,"NO"
2,2,29,26,14.5,40,0,20,-11,12,-5.5,"NO"
2,2,23,22,11.5,20,0,10,3,2,1.5,"NO"
2,2,28,25,14,39,0,19.5,-11,11,-5.5,"NO"
1,1,3,3,3,2,0,2,1,1,1,"NO"
1,1,5,5,5,2,0,2,3,3,3,"NO"
2,2,5,3,2.5,1,0,0.5,4,3,2,"NO"
1,1,3,3,3,0,0,0,3,3,3,"NO"
8,3,70,25,8.75,69,0,8.625,1,9,0.125,"YES"
5,2,27,11,5.4,26,0,5.2,1,5,0.2,"YES"
4,1,88,83,22,36,0,9,52,55,13,"NO"
2,1,46,42,23,8,0,4,38,40,19,"NO"
5,3,15,7,3,22,0,4.4,-7,0,-1.4,"NO"
2,2,5,3,2.5,13,0,6.5,-8,0,-4,"NO"
1,1,3,3,3,2,0,2,1,1,1,"NO"
1,1,5,5,5,2,0,2,3,3,3,"NO"
4,2,20,11,5,18,0,4.5,2,4,0.5,"NO"
2,2,13,11,6.5,10,0,5,3,5,1.5,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
3,3,23,20,7.66666666666667,26,0,8.66666666666667,-3,1,-1,"YES"
4,2,23,19,5.75,14,0,3.5,9,10,2.25,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,9,6,3,8,0,2.66666666666667,1,1,0.333333333333333,"YES"
5,3,68,36,13.6,47,0,9.4,21,36,4.2,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
7,2,191,130,27.2857142857143,68,0,9.71428571428571,123,84,17.5714285714286,"NO"
7,2,137,80,19.5714285714286,82,0,11.7142857142857,55,64,7.85714285714286,"NO"
1,1,1,1,1,6,0,6,-5,0,-5,"YES"
3,1,5,4,1.66666666666667,10,0,3.33333333333333,-5,0,-1.66666666666667,"NO"
1,1,1,1,1,3,0,3,-2,0,-2,"NO"
11,4,166,85,15.0909090909091,91,0,8.27272727272727,75,42,6.81818181818182,"NO"
7,4,67,21,9.57142857142857,66,0,9.42857142857143,1,14,0.142857142857143,"NO"
4,2,12,5,3,14,0,3.5,-2,1,-0.5,"NO"
2,2,7,4,3.5,11,0,5.5,-4,0,-2,"NO"
1,1,6,6,6,3,0,3,3,3,3,"NO"
1,1,2,2,2,2,0,2,0,0,0,"NO"
1,1,72,72,72,0,0,0,72,72,72,"YES"
2,2,54,53,27,4,0,2,50,53,25,"YES"
4,3,7,4,1.75,17,0,4.25,-10,0,-2.5,"NO"
3,3,4,2,1.33333333333333,49,0,16.3333333333333,-45,0,-15,"NO"
1,1,3,3,3,4,0,4,-1,0,-1,"NO"
1,1,3,3,3,13,0,13,-10,0,-10,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,35,23,17.5,19,0,9.5,16,19,8,"YES"
4,2,8,3,2,11,0,2.75,-3,1,-0.75,"NO"
2,2,4,3,2,16,0,8,-12,0,-6,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
6,3,47,31,7.83333333333333,11,0,1.83333333333333,36,30,6,"YES"
2,2,7,6,3.5,18,0,9,-11,0,-5.5,"YES"
5,1,90,84,18,28,0,5.6,62,84,12.4,"NO"
5,1,85,79,17,15,0,3,70,79,14,"NO"
5,4,7,2,1.4,6,0,1.2,1,2,0.2,"NO"
3,3,6,2,2,10,0,3.33333333333333,-4,0,-1.33333333333333,"NO"
4,2,15,12,3.75,15,0,3.75,0,3,0,"NO"
2,2,7,6,3.5,17,0,8.5,-10,0,-5,"NO"
1,1,4,4,4,0,0,0,4,4,4,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,1,1,0.5,13,0,6.5,-12,0,-6,"NO"
6,3,14,7,2.33333333333333,13,0,2.16666666666667,1,6,0.166666666666667,"YES"
