"revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
4,2,77,69,19.25,5,0,1.25,72,69,18,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,1,1,1,5,0,5,-4,0,-4,"NO"
4,1,25,9,6.25,144,0,36,-119,3,-29.75,"YES"
5,2,33,12,6.6,157,0,31.4,-124,5,-24.8,"YES"
2,1,12,10,6,2,0,1,10,10,5,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
2,1,31,30,15.5,5,0,2.5,26,25,13,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"YES"
1,1,1,1,1,0,0,0,1,1,1,"NO"
2,1,3,2,1.5,1,0,0.5,2,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
2,2,2,1,1,2,0,1,0,0,0,"YES"
1,1,1,1,1,1,0,1,0,0,0,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,2,2,2,2,0,2,0,0,0,"NO"
1,1,8,8,8,7,0,7,1,1,1,"NO"
2,2,35,34,17.5,130,0,65,-95,0,-47.5,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
8,2,400,266,50,178,0,22.25,222,266,27.75,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
4,2,68,40,17,0,0,0,68,40,17,"YES"
2,2,84,60,42,0,0,0,84,60,42,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,49,33,24.5,0,0,0,49,33,24.5,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
6,1,519,492,86.5,183,0,30.5,336,492,56,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
2,2,59,58,29.5,0,0,0,59,58,29.5,"NO"
1,1,35,35,35,0,0,0,35,35,35,"NO"
2,1,7,4,3.5,3,0,1.5,4,4,2,"NO"
1,1,8,8,8,0,0,0,8,8,8,"NO"
1,1,2,2,2,0,0,0,2,2,2,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,3,3,3,0,0,0,3,3,3,"NO"
1,1,1,1,1,1,0,1,0,0,0,"NO"
0,0,0,0,0,0,0,0,0,0,0,"NO"
1,1,1,1,1,0,0,0,1,1,1,"NO"
4,2,4,2,1,12,0,3,-8,1,-2,"NO"
1,1,2,2,2,2,0,2,0,0,0,"NO"
2,2,2,1,1,1,0,0.5,1,1,0.5,"NO"
10,3,45,12,4.5,8,0,0.8,37,9,3.7,"YES"
19,3,479,147,25.2105263157895,148,0,7.78947368421053,331,146,17.4210526315789,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
9,2,153,50,17,25,0,2.77777777777778,128,48,14.2222222222222,"YES"
3,1,26,22,8.66666666666667,0,0,0,26,22,8.66666666666667,"YES"
12,2,294,135,24.5,203,0,16.9166666666667,91,98,7.58333333333333,"NO"
9,2,159,87,17.6666666666667,141,0,15.6666666666667,18,25,2,"YES"
1,1,112,112,112,0,0,0,112,112,112,"YES"
4,2,228,201,57,18,0,4.5,210,201,52.5,"YES"
0,0,0,0,0,0,0,0,0,0,0,"YES"
0,0,0,0,0,0,0,0,0,0,0,"NO"
5,2,236,202,47.2,12,0,2.4,224,202,44.8,"YES"
