"wmc","dit","rfc","noc","cbo","lcom","loc","revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
3,1,3,0,0,3,8,1,1,1,1,1,1,1,1,0,0,0,"NO"
48,1,147,0,21,78,232,4,2,4,1,1,4,1,1,0,0,0,"NO"
40,1,80,0,12,78,188,4,2,4,1,1,4,1,1,0,0,0,"NO"
2,1,3,0,1,1,4,3,3,7,6,2.33333,6,5,2,1,1,0.333333,"NO"
4,1,9,33,50,15,12,11,8,78,28,7.09091,88,51,8,-10,27,-0.909091,"YES"
8,3,14,0,7,6,30,4,2,90,72,22.5,85,72,21.25,5,4,1.25,"YES"
32,1,34,0,5,45,98,5,2,219,206,43.8,80,68,16,139,138,27.8,"YES"
13,3,15,3,3,10,55,10,6,84,27,8.4,107,51,10.7,-23,9,-2.3,"YES"
44,3,8,0,4,3,216,5,2,175,170,35,178,170,35.6,-3,0,-0.6,"NO"
3,2,8,0,6,3,12,5,2,4,2,0.8,23,20,4.6,-19,1,-3.8,"NO"
7,3,11,0,2,3,30,4,2,21,11,5.25,10,8,2.5,11,8,2.75,"NO"
5,3,4,0,3,1,19,2,2,2,1,1,2,1,1,0,0,0,"NO"
2,4,3,2,3,1,6,5,3,28,13,5.6,102,51,20.4,-74,1,-14.8,"NO"
4,3,6,0,14,1,17,7,5,45,13,6.42857,73,51,10.4286,-28,5,-4,"NO"
2,5,3,0,9,1,6,6,4,38,13,6.33333,111,51,18.5,-73,1,-12.1667,"NO"
9,2,13,0,3,15,30,9,6,59,16,6.55556,61,51,6.77778,-2,14,-0.222222,"NO"
4,3,10,0,3,1,14,8,5,79,26,9.875,119,51,14.875,-40,1,-5,"NO"
164,1,157,0,5,231,312,5,5,133,111,26.6,172,111,34.4,-39,1,-7.8,"NO"
3,2,8,0,47,3,12,5,4,32,13,6.4,58,51,11.6,-26,11,-5.2,"NO"
9,3,14,4,10,15,28,7,2,60,17,8.57143,12,4,1.71429,48,17,6.85714,"NO"
4,2,12,0,6,3,17,12,7,69,17,5.75,67,51,5.58333,2,17,0.166667,"NO"
10,3,17,0,21,21,36,21,7,320,75,15.2381,246,51,11.7143,74,59,3.52381,"NO"
2,3,4,0,6,1,10,4,2,24,17,6,6,4,1.5,18,17,4.5,"NO"
66,1,72,0,128,465,240,24,9,999,468,41.625,251,69,10.4583,748,420,31.1667,"NO"
3,2,5,42,5,3,10,10,5,40,13,4,66,51,6.6,-26,9,-2.6,"YES"
3,1,5,22,90,6,7,10,7,116,28,11.6,83,51,8.3,33,25,3.3,"YES"
3,2,4,10,9,3,9,9,6,47,13,5.22222,62,51,6.88889,-15,9,-1.66667,"NO"
3,2,8,0,74,3,12,5,3,32,13,6.4,58,51,11.6,-26,11,-5.2,"NO"
2,4,3,0,19,1,6,5,2,22,13,4.4,59,51,11.8,-37,1,-7.4,"NO"
10,1,18,0,6,1,44,9,4,83,32,9.22222,72,29,8,11,32,1.22222,"NO"
2,2,7,0,4,1,11,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,5,4,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,"NO"
4,3,8,0,5,1,15,0,0,0,0,0,0,0,0,0,0,0,"NO"
18,1,5,0,2,3,27,0,0,0,0,0,0,0,0,0,0,0,"NO"
4,3,8,0,5,1,20,0,0,0,0,0,0,0,0,0,0,0,"NO"
21,1,16,0,2,28,53,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,10,0,4,3,15,9,3,9,1,1,9,1,1,0,0,0,"NO"
7,3,8,0,5,1,21,8,3,8,1,1,8,1,1,0,0,0,"NO"
321,1,423,0,3,171,847,5,3,5,1,1,5,1,1,0,0,0,"NO"
2,2,5,0,2,1,6,5,3,5,1,1,5,1,1,0,0,0,"NO"
26,3,8,0,3,1,140,4,2,4,1,1,4,1,1,0,0,0,"NO"
2,2,4,0,2,1,7,2,2,2,1,1,2,1,1,0,0,0,"NO"
8,3,10,0,5,1,38,4,2,4,1,1,4,1,1,0,0,0,"NO"
14,3,15,0,3,6,66,4,2,4,1,1,4,1,1,0,0,0,"NO"
14,3,36,2,6,28,74,2,2,9,8,4.5,10,9,5,-1,0,-0.5,"NO"
12,4,14,0,2,1,36,1,1,1,1,1,1,1,1,0,0,0,"NO"
18,4,24,0,5,3,81,1,1,1,1,1,1,1,1,0,0,0,"NO"
11,1,10,0,2,28,42,1,1,1,1,1,1,1,1,0,0,0,"NO"
13,1,14,0,4,45,50,1,1,1,1,1,1,1,1,0,0,0,"NO"
6,1,7,0,2,1,19,1,1,1,1,1,1,1,1,0,0,0,"NO"
3,1,3,0,2,3,9,1,1,1,1,1,1,1,1,0,0,0,"NO"
1,1,1,0,1,0,3,1,1,1,1,1,1,1,1,0,0,0,"NO"
61,2,67,0,9,78,270,1,1,1,1,1,1,1,1,0,0,0,"NO"
64,1,160,0,14,210,268,2,2,2,1,1,3,2,1.5,-1,0,-0.5,"NO"
44,1,73,1,6,153,267,1,1,1,1,1,1,1,1,0,0,0,"NO"
6,2,15,0,5,3,35,7,3,7,1,1,7,1,1,0,0,0,"NO"
3,2,10,0,4,3,14,4,1,4,1,1,4,1,1,0,0,0,"NO"
10,3,10,0,6,6,29,1,1,1,1,1,1,1,1,0,0,0,"NO"
58,1,123,0,4,28,171,12,5,12,1,1,12,1,1,0,0,0,"NO"
5,2,11,0,3,3,25,3,3,4,3,1.33333,4,2,1.33333,0,1,0,"NO"
79,1,2,0,2,0,225,2,2,1,1,0.5,2,1,1,-1,0,-0.5,"NO"
4,3,6,0,4,1,19,3,3,9,8,3,15,13,5,-6,0,-2,"NO"
10,3,23,0,2,3,40,4,3,34,28,8.5,24,17,6,10,11,2.5,"NO"
5,2,14,0,5,3,19,9,2,9,1,1,9,1,1,0,0,0,"NO"
10,3,12,0,5,6,29,5,1,5,1,1,5,1,1,0,0,0,"NO"
128,1,174,0,4,210,482,3,2,3,1,1,3,1,1,0,0,0,"NO"
1,2,2,0,2,1,4,2,2,3,2,1.5,13,12,6.5,-10,0,-5,"NO"
6,2,18,0,6,15,32,2,2,4,3,2,3,2,1.5,1,1,0.5,"NO"
15,2,24,2,5,36,63,2,2,16,15,8,44,43,22,-28,0,-14,"NO"
6,2,9,0,4,10,21,2,2,9,8,4.5,6,5,3,3,3,1.5,"NO"
10,3,17,0,3,3,45,3,3,20,16,6.66667,18,16,6,2,2,0.666667,"YES"
6,3,10,0,4,1,34,6,3,107,84,17.8333,54,36,9,53,48,8.83333,"NO"
8,3,13,0,3,3,32,3,2,10,9,3.33333,14,12,4.66667,-4,0,-1.33333,"YES"
6,3,7,0,2,1,27,5,2,58,52,11.6,58,52,11.6,0,1,0,"NO"
4,2,14,0,4,6,31,4,3,4,1,1,4,1,1,0,0,0,"NO"
12,3,13,0,5,10,33,3,2,3,1,1,3,1,1,0,0,0,"NO"
102,1,143,0,4,153,289,5,3,5,1,1,5,1,1,0,0,0,"NO"
9,1,19,0,3,3,51,2,2,2,1,1,2,1,1,0,0,0,"NO"
4,3,8,0,4,1,14,3,2,9,6,3,42,36,14,-33,1,-11,"NO"
4,1,8,0,3,6,18,1,1,1,1,1,1,1,1,0,0,0,"NO"
3,3,8,0,4,1,15,2,2,21,13,10.5,53,46,26.5,-32,1,-16,"NO"
5,3,9,0,4,1,12,2,2,7,6,3.5,6,5,3,1,1,0.5,"NO"
11,2,33,0,7,6,43,2,2,2,1,1,2,1,1,0,0,0,"NO"
5,2,12,0,6,3,26,9,4,9,1,1,9,1,1,0,0,0,"NO"
16,1,2,0,2,0,41,1,1,1,1,1,1,1,1,0,0,0,"NO"
5,4,3,0,3,1,14,1,1,1,1,1,1,1,1,0,0,0,"NO"
4,3,6,0,4,1,19,4,2,4,1,1,4,1,1,0,0,0,"NO"
7,3,9,0,5,3,22,5,2,5,1,1,5,1,1,0,0,0,"NO"
44,1,68,0,4,136,173,1,1,1,1,1,1,1,1,0,0,0,"NO"
6,2,10,0,2,15,23,2,2,47,46,23.5,44,43,22,3,3,1.5,"NO"
32,3,66,0,4,28,141,3,3,43,38,14.3333,30,25,10,13,13,4.33333,"NO"
58,2,118,0,10,136,276,5,2,83,58,16.6,68,50,13.6,15,8,3,"NO"
4,4,6,0,3,1,19,2,2,3,2,1.5,3,2,1.5,0,0,0,"NO"
5,4,4,0,1,3,14,1,1,1,1,1,1,1,1,0,0,0,"NO"
4,4,5,0,3,1,10,2,2,2,1,1,2,1,1,0,0,0,"NO"
3,2,8,0,4,1,13,4,2,4,1,1,4,1,1,0,0,0,"NO"
4,3,13,0,8,1,23,7,2,7,1,1,7,1,1,0,0,0,"NO"
10,2,24,0,12,36,48,22,9,320,100,14.5455,151,51,6.86364,169,98,7.68182,"NO"
11,3,8,0,12,1,32,7,4,56,19,8,92,51,13.1429,-36,1,-5.14286,"NO"
13,3,24,0,3,28,62,13,6,265,64,20.3846,250,185,19.2308,15,58,1.15385,"YES"
64,1,40,0,6,171,271,6,2,248,135,41.3333,173,79,28.8333,75,56,12.5,"NO"
1,2,6,0,3,1,7,2,2,1,1,0.5,2,1,1,-1,0,-0.5,"NO"
8,3,25,0,6,1,39,3,3,19,18,6.33333,13,11,4.33333,6,7,2,"NO"
4,1,7,0,2,3,16,2,1,2,1,1,2,1,1,0,0,0,"NO"
3,1,7,0,5,0,19,2,1,2,1,1,2,1,1,0,0,0,"NO"
16,1,58,0,14,21,98,3,1,3,1,1,3,1,1,0,0,0,"NO"
29,1,69,0,16,66,199,1,1,1,1,1,1,1,1,0,0,0,"NO"
4,1,19,0,6,3,31,2,1,2,1,1,2,1,1,0,0,0,"NO"
8,1,7,1,2,0,25,3,2,2,1,0.666667,2,1,0.666667,0,0,0,"NO"
0,1,0,0,0,0,0,2,2,1,1,0.5,1,1,0.5,0,0,0,"NO"
12,1,29,0,5,45,71,3,2,2,1,0.666667,2,1,0.666667,0,0,0,"NO"
10,1,35,0,8,10,70,7,4,198,134,28.2857,154,134,22,44,33,6.28571,"NO"
27,1,63,0,48,153,132,14,4,297,210,21.2143,255,210,18.2143,42,12,3,"NO"
7,1,15,3,4,15,26,1,1,1,1,1,1,1,1,0,0,0,"NO"
55,1,115,5,17,136,177,10,4,422,309,42.2,368,309,36.8,54,19,5.4,"NO"
2,1,5,0,2,1,5,2,1,5,4,2.5,8,7,4,-3,0,-1.5,"NO"
11,2,41,0,9,10,66,4,3,24,15,6,11,5,2.75,13,10,3.25,"NO"
11,1,11,0,5,55,37,1,1,1,1,1,1,1,1,0,0,0,"NO"
4,3,12,0,4,6,16,5,2,79,29,15.8,26,14,5.2,53,16,10.6,"NO"
9,2,24,0,8,0,49,2,2,2,1,1,2,1,1,0,0,0,"NO"
