"wmc","dit","rfc","noc","cbo","lcom","loc","revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
4,1,7,0,0,6,12,3,3,4,4,1.33333,1,1,0.333333,3,3,1,"NO"
38,1,89,0,3,10,103,3,3,4,4,1.33333,1,1,0.333333,3,3,1,"NO"
11,1,17,0,1,36,36,3,3,8,8,2.66667,5,5,1.66667,3,3,1,"NO"
20,1,47,0,5,120,89,3,3,19,19,6.33333,15,15,5,4,4,1.33333,"NO"
9,1,9,0,3,15,30,3,3,8,8,2.66667,3,3,1,5,5,1.66667,"NO"
4,4,5,0,4,6,14,3,3,4,4,1.33333,1,1,0.333333,3,3,1,"NO"
4,1,11,0,5,0,27,3,3,5,5,1.66667,1,1,0.333333,4,4,1.33333,"NO"
9,4,12,0,4,36,29,3,3,5,5,1.66667,4,4,1.33333,1,1,0.333333,"NO"
53,2,197,0,23,136,672,4,3,11,6,2.75,10,9,2.5,1,5,0.25,"NO"
10,2,17,0,9,10,37,3,3,4,4,1.33333,1,1,0.333333,3,3,1,"NO"
7,3,9,0,3,21,25,4,3,17,11,4.25,19,15,4.75,-2,2,-0.5,"NO"
12,2,24,0,5,21,43,3,3,4,4,1.33333,1,1,0.333333,3,3,1,"NO"
1,1,2,0,0,0,8,3,3,4,4,1.33333,2,2,0.666667,2,2,0.666667,"NO"
21,3,72,0,10,36,180,3,3,5,5,1.66667,1,1,0.333333,4,4,1.33333,"NO"
0,1,2,2,1,1,0,3,2,24,20,8,1,1,0.333333,23,20,7.66667,"NO"
0,1,0,0,0,0,0,6,2,21,9,3.5,7,4,1.16667,14,8,2.33333,"NO"
26,1,7,0,8,6,109,7,2,55,34,7.85714,89,56,12.7143,-34,7,-4.85714,"NO"
11,1,28,0,229,10,39,7,2,61,32,8.71429,162,132,23.1429,-101,26,-14.4286,"NO"
4,1,7,2,13,15,12,2,1,0,0,0,0,0,0,0,0,0,"NO"
18,1,12,0,40,10,51,3,2,6,5,2,1,1,0.333333,5,4,1.66667,"NO"
96,1,116,0,15,28,294,2,1,0,0,0,0,0,0,0,0,0,"NO"
49,1,92,0,10,78,151,2,1,0,0,0,0,0,0,0,0,0,"NO"
19,1,24,0,14,21,54,3,2,3,2,1,2,1,0.666667,1,1,0.333333,"NO"
1,1,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,"NO"
5,2,8,0,7,6,15,2,1,4,4,2,1,1,0.5,3,3,1.5,"NO"
0,1,2,3,2,1,0,2,1,11,11,5.5,0,0,0,11,11,5.5,"NO"
88,1,196,0,42,496,389,2,1,0,0,0,0,0,0,0,0,0,"NO"
3,1,8,0,2,0,24,2,1,10,10,5,5,5,2.5,5,5,2.5,"NO"
5,2,8,0,1,6,32,2,1,10,10,5,5,5,2.5,5,5,2.5,"NO"
8,1,8,17,1,28,16,5,1,32,23,6.4,23,14,4.6,9,9,1.8,"NO"
3,1,14,12,52,91,9,14,2,50,13,3.57143,76,24,5.42857,-26,7,-1.85714,"NO"
6,1,16,0,110,15,18,9,2,36,15,4,9,5,1,27,15,3,"NO"
5,1,4,0,3,1,15,8,2,23,7,2.875,21,9,2.625,2,3,0.25,"NO"
14,1,42,0,18,10,104,27,3,166,33,6.14815,94,13,3.48148,72,30,2.66667,"NO"
12,1,71,0,17,28,108,19,2,84,22,4.42105,54,11,2.84211,30,12,1.57895,"NO"
21,1,51,0,15,36,129,4,2,13,8,3.25,13,9,3.25,0,1,0,"NO"
12,1,27,0,6,10,89,9,2,23,11,2.55556,18,6,2,5,5,0.555556,"NO"
6,2,13,3,4,6,37,23,3,92,20,4,94,48,4.08696,-2,7,-0.0869565,"NO"
0,1,7,9,11,21,0,9,1,23,6,2.55556,23,8,2.55556,0,3,0,"NO"
71,1,147,6,26,351,270,40,2,397,63,9.925,234,28,5.85,163,63,4.075,"YES"
10,1,20,0,15,10,27,9,2,62,18,6.88889,5,3,0.555556,57,18,6.33333,"NO"
25,1,31,2,21,28,83,37,2,157,34,4.24324,184,44,4.97297,-27,9,-0.72973,"NO"
5,1,8,0,3,1,18,13,2,37,7,2.84615,34,7,2.61538,3,3,0.230769,"NO"
13,1,32,0,6,10,111,18,2,54,10,3,51,10,2.83333,3,4,0.166667,"NO"
5,1,14,0,4,10,27,7,2,43,27,6.14286,33,24,4.71429,10,4,1.42857,"NO"
23,2,39,0,6,66,193,15,2,32,6,2.13333,31,4,2.06667,1,5,0.0666667,"NO"
27,2,37,0,11,10,98,15,2,35,7,2.33333,37,7,2.46667,-2,2,-0.133333,"NO"
33,1,56,0,15,105,313,12,2,45,20,3.75,37,12,3.08333,8,8,0.666667,"NO"
14,2,23,5,7,6,50,10,2,155,102,15.5,154,104,15.4,1,102,0.1,"NO"
3,2,9,2,6,1,13,5,2,46,38,9.2,40,38,8,6,38,1.2,"NO"
4,1,6,0,0,6,13,4,1,7,5,1.75,33,27,8.25,-26,0,-6.5,"NO"
2,1,10,0,3,1,15,4,1,0,0,0,0,0,0,0,0,0,"NO"
2,1,3,1,1,3,6,3,1,0,0,0,0,0,0,0,0,0,"NO"
26,2,17,0,2,10,95,10,1,155,69,15.5,139,58,13.9,16,11,1.6,"NO"
3,1,20,4,14,1,85,49,3,523,142,10.6735,522,95,10.6531,1,47,0.0204082,"YES"
75,2,196,0,14,66,223,18,2,228,54,12.6667,70,34,3.88889,158,37,8.77778,"YES"
353,1,902,0,60,666,1550,184,4,4454,316,24.2065,3718,450,20.2065,736,298,4,"YES"
3,1,8,0,8,0,12,18,3,65,16,3.61111,77,33,4.27778,-12,9,-0.666667,"NO"
11,1,25,0,15,28,41,27,3,94,10,3.48148,75,10,2.77778,19,7,0.703704,"YES"
62,1,107,0,31,153,257,41,3,575,120,14.0244,419,111,10.2195,156,110,3.80488,"YES"
10,1,14,0,5,45,39,6,3,52,43,8.66667,8,2,1.33333,44,41,7.33333,"NO"
3,1,5,0,0,1,10,2,2,0,0,0,0,0,0,0,0,0,"NO"
20,1,23,0,6,45,62,6,2,57,44,9.5,13,6,2.16667,44,39,7.33333,"NO"
18,1,59,0,11,91,83,5,2,35,15,7,14,9,2.8,21,14,4.2,"NO"
15,1,17,0,7,21,47,11,3,118,39,10.7273,137,106,12.4545,-19,32,-1.72727,"NO"
9,2,7,0,2,6,20,11,2,15,5,1.36364,61,42,5.54545,-46,3,-4.18182,"NO"
100,1,119,0,10,153,345,63,2,1157,294,18.3651,1059,191,16.8095,98,103,1.55556,"NO"
85,2,230,0,47,406,417,169,3,2469,474,14.6095,2181,267,12.9053,288,421,1.70414,"NO"
17,1,25,0,3,6,54,17,3,186,110,10.9412,185,110,10.8824,1,110,0.0588235,"NO"
6,2,29,0,10,15,48,11,3,65,19,5.90909,91,37,8.27273,-26,13,-2.36364,"NO"
44,2,169,0,26,153,350,91,3,1406,170,15.4505,1524,285,16.7473,-118,165,-1.2967,"YES"
27,1,24,0,8,21,76,4,2,27,16,6.75,5,2,1.25,22,14,5.5,"YES"
4,1,6,0,1,3,16,13,3,57,16,4.38462,96,35,7.38462,-39,7,-3,"NO"
4,1,6,0,1,3,16,13,3,64,20,4.92308,104,40,8,-40,10,-3.07692,"NO"
39,1,42,0,4,6,95,13,2,22,7,1.69231,166,155,12.7692,-144,7,-11.0769,"NO"
1,1,2,0,0,0,3,5,2,18,18,3.6,14,8,2.8,4,18,0.8,"NO"
6,2,17,0,7,1,26,21,3,112,58,5.33333,109,58,5.19048,3,58,0.142857,"NO"
19,1,21,0,0,171,57,2,2,0,0,0,0,0,0,0,0,0,"NO"
120,1,292,0,30,861,462,42,4,732,188,17.4286,396,78,9.42857,336,188,8,"YES"
2,2,5,0,1,1,9,18,2,69,16,3.83333,153,31,8.5,-84,6,-4.66667,"NO"
2,2,5,0,3,1,9,19,3,81,20,4.26316,83,25,4.36842,-2,12,-0.105263,"NO"
6,2,15,0,4,1,23,32,2,261,94,8.15625,372,151,11.625,-111,30,-3.46875,"NO"
48,1,65,0,5,28,228,37,2,373,47,10.0811,276,41,7.45946,97,47,2.62162,"NO"
13,1,20,0,6,15,55,37,3,255,59,6.89189,297,62,8.02703,-42,12,-1.13514,"NO"
139,1,185,0,7,15,373,15,3,495,112,33,310,156,20.6667,185,61,12.3333,"YES"
130,1,248,0,21,66,523,46,4,1114,300,24.2174,778,300,16.913,336,300,7.30435,"YES"
1,1,1,0,0,0,3,7,2,12,6,1.71429,11,4,1.57143,1,3,0.142857,"NO"
6,1,25,0,9,0,34,16,2,59,13,3.6875,49,8,3.0625,10,7,0.625,"NO"
3,2,8,0,2,3,12,10,3,53,37,5.3,52,37,5.2,1,37,0.1,"NO"
40,2,75,0,6,21,120,10,3,233,183,23.3,256,183,25.6,-23,183,-2.3,"NO"
5,1,6,0,2,6,14,10,3,64,45,6.4,61,45,6.1,3,45,0.3,"NO"
44,1,82,0,12,10,162,14,3,289,223,20.6429,277,223,19.7857,12,223,0.857143,"NO"
1,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,"NO"
5,2,11,0,2,6,14,11,3,58,41,5.27273,57,41,5.18182,1,41,0.0909091,"NO"
3,2,8,0,1,3,11,11,3,52,36,4.72727,49,36,4.45455,3,36,0.272727,"NO"
15,1,27,0,4,55,69,11,3,135,118,12.2727,132,118,12,3,118,0.272727,"NO"
19,1,31,4,8,91,63,10,2,147,118,14.7,142,118,14.2,5,118,0.5,"NO"
8,1,9,0,8,28,29,4,1,3,2,0.75,3,2,0.75,0,0,0,"NO"
19,1,48,0,10,36,104,2,1,0,0,0,0,0,0,0,0,0,"NO"
85,1,112,0,9,28,263,5,1,6,5,1.2,4,2,0.8,2,4,0.4,"NO"
3,1,5,0,3,0,40,2,1,0,0,0,0,0,0,0,0,0,"NO"
90,1,135,0,8,153,335,9,1,28,16,3.11111,17,9,1.88889,11,7,1.22222,"NO"
6,1,7,0,0,10,37,12,2,13,2,1.08333,14,2,1.16667,-1,0,-0.0833333,"NO"
8,1,19,0,3,6,35,20,3,67,18,3.35,90,41,4.5,-23,4,-1.15,"NO"
7,1,8,0,1,3,23,15,2,42,6,2.8,34,6,2.26667,8,3,0.533333,"NO"
2,2,7,0,4,3,14,3,2,5,4,1.66667,2,1,0.666667,3,3,1,"NO"
10,1,26,0,5,3,48,21,2,173,69,8.2381,172,90,8.19048,1,69,0.047619,"NO"
7,1,18,0,6,1,38,13,3,39,15,3,40,15,3.07692,-1,3,-0.0769231,"NO"
30,1,60,0,16,45,127,65,3,1224,325,18.8308,856,143,13.1692,368,322,5.66154,"NO"
39,1,91,0,12,210,272,4,1,0,0,0,3,3,0.75,-3,0,-0.75,"NO"
3,1,7,0,2,1,14,4,1,1,1,0.25,0,0,0,1,1,0.25,"NO"
1,2,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,"NO"
1,2,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,"NO"
8,1,17,2,4,6,67,5,2,57,40,11.4,16,13,3.2,41,27,8.2,"NO"
1,1,2,0,0,0,3,2,1,20,20,10,12,12,6,8,8,4,"NO"
4,1,37,0,16,3,96,5,2,70,36,14,54,23,10.8,16,13,3.2,"NO"
2,1,6,4,0,1,13,3,1,0,0,0,0,0,0,0,0,0,"NO"
2,1,7,1,1,1,13,3,1,0,0,0,0,0,0,0,0,0,"NO"
6,2,21,0,4,3,60,2,1,0,0,0,0,0,0,0,0,0,"NO"
4,2,8,0,2,1,27,3,1,0,0,0,0,0,0,0,0,0,"NO"
3,2,8,0,4,1,16,3,1,0,0,0,0,0,0,0,0,0,"NO"
7,2,16,0,1,1,40,4,1,3,2,0.75,3,2,0.75,0,0,0,"NO"
8,1,31,0,4,6,122,14,2,111,37,7.92857,96,24,6.85714,15,13,1.07143,"NO"
4,2,21,0,4,1,54,4,2,8,4,2,4,2,1,4,3,1,"NO"
8,2,12,0,2,3,64,5,2,23,11,4.6,3,1,0.6,20,10,4,"NO"
16,2,53,0,8,6,84,10,3,133,90,13.3,21,5,2.1,112,89,11.2,"NO"
13,2,66,0,9,3,120,9,3,34,10,3.77778,22,10,2.44444,12,5,1.33333,"NO"
22,3,74,1,12,36,166,27,4,423,168,15.6667,94,22,3.48148,329,166,12.1852,"YES"
9,2,15,1,6,15,25,6,3,12,4,2,8,3,1.33333,4,3,0.666667,"NO"
7,2,23,0,3,21,57,4,2,24,17,6,4,3,1,20,17,5,"NO"
18,2,86,0,5,28,129,4,1,26,14,6.5,17,14,4.25,9,5,2.25,"NO"
7,1,26,0,6,6,98,7,3,22,11,3.14286,18,7,2.57143,4,11,0.571429,"NO"
1,1,2,0,0,0,3,3,2,2,2,0.666667,2,2,0.666667,0,2,0,"NO"
22,1,22,0,0,231,75,3,2,0,0,0,0,0,0,0,0,0,"NO"
7,1,11,0,0,15,41,7,2,14,6,2,13,6,1.85714,1,1,0.142857,"NO"
165,3,415,0,27,595,1448,130,3,3750,444,28.8462,3010,377,23.1538,740,332,5.69231,"YES"
2,1,13,0,2,1,43,6,2,30,17,5,93,70,15.5,-63,0,-10.5,"NO"
5,1,10,0,2,1,36,7,2,15,6,2.14286,17,8,2.42857,-2,3,-0.285714,"NO"
8,1,12,0,2,1,53,7,2,15,6,2.14286,17,8,2.42857,-2,3,-0.285714,"NO"
12,1,29,0,4,45,91,3,1,0,0,0,0,0,0,0,0,0,"NO"
1,1,2,0,0,0,3,4,2,20,18,5,6,2,1.5,14,16,3.5,"NO"
8,1,13,0,0,15,38,3,1,0,0,0,0,0,0,0,0,0,"NO"
21,1,51,0,7,55,149,3,1,0,0,0,0,0,0,0,0,0,"NO"
14,1,20,0,2,45,67,14,2,49,14,3.5,43,9,3.07143,6,5,0.428571,"NO"
38,2,73,0,17,136,131,42,3,442,165,10.5238,326,65,7.7619,116,111,2.7619,"NO"
9,1,12,0,0,15,64,7,3,23,6,3.28571,14,4,2,9,5,1.28571,"NO"
9,3,20,0,4,15,57,37,3,154,45,4.16216,153,52,4.13513,1,9,0.027027,"NO"
4,1,12,0,3,3,35,20,3,47,6,2.35,43,5,2.15,4,3,0.2,"NO"
28,4,73,0,10,36,198,102,3,1624,201,15.9216,1228,161,12.0392,396,125,3.88235,"NO"
8,2,53,0,10,6,126,3,1,19,15,6.33333,19,15,6.33333,0,0,0,"NO"
21,1,5,0,0,1,40,6,1,184,91,30.6667,214,102,35.6667,-30,0,-5,"NO"
0,1,0,0,0,0,0,3,1,1,1,0.333333,1,1,0.333333,0,0,0,"NO"
9,2,23,0,4,10,30,8,3,26,7,3.25,25,12,3.125,1,4,0.125,"NO"
1,1,2,0,0,0,3,3,2,1,1,0.333333,17,16,5.66667,-16,0,-5.33333,"NO"
25,1,29,0,3,28,134,10,3,87,23,8.7,89,22,8.9,-2,3,-0.2,"NO"
4,1,10,0,0,15,18,11,2,182,161,16.5455,199,183,18.0909,-17,5,-1.54545,"NO"
81,1,182,1,4,66,555,24,2,271,52,11.2917,241,42,10.0417,30,10,1.25,"NO"
13,1,34,0,3,45,99,6,2,16,8,2.66667,24,12,4,-8,0,-1.33333,"NO"
26,1,73,0,20,36,291,107,3,1756,302,16.4112,1292,145,12.0748,464,249,4.33645,"NO"
1,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,"NO"
3,2,36,0,10,3,84,39,3,319,106,8.17949,338,101,8.66667,-19,22,-0.487179,"YES"
1,2,2,0,0,0,5,4,2,10,10,2.5,2,2,0.5,8,8,2,"NO"
14,1,32,0,6,15,72,8,2,18,6,2.25,11,6,1.375,7,3,0.875,"YES"
41,1,44,0,12,21,102,8,3,49,29,6.125,16,9,2,33,29,4.125,"NO"
24,1,74,0,15,10,137,6,3,88,44,14.6667,64,28,10.6667,24,16,4,"YES"
3,1,3,0,3,3,11,3,2,6,4,2,3,2,1,3,3,1,"NO"
8,1,11,0,1,6,19,2,1,5,5,2.5,1,1,0.5,4,4,2,"NO"
14,1,21,0,10,28,43,2,1,0,0,0,0,0,0,0,0,0,"NO"
9,1,8,0,2,6,33,2,1,0,0,0,0,0,0,0,0,0,"NO"
0,1,0,0,0,0,0,4,2,2,1,0.5,5,4,1.25,-3,1,-0.75,"NO"
27,1,28,0,6,21,105,2,1,0,0,0,0,0,0,0,0,0,"NO"
22,1,23,0,3,15,100,2,1,1,1,0.5,0,0,0,1,1,0.5,"NO"
3,1,9,0,3,1,15,2,1,0,0,0,0,0,0,0,0,0,"NO"
3,1,11,0,4,1,15,3,2,5,4,1.66667,2,1,0.666667,3,3,1,"NO"
