"wmc","dit","rfc","noc","cbo","lcom","loc","revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
27,1,40,0,3,25,1277,0,0,0,0,0,0,0,0,0,0,0,"NO"
8,2,38,0,18,28,273,0,0,0,0,0,0,0,0,0,0,0,"NO"
7,2,17,0,16,19,53,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,6,0,10,1,30,0,0,0,0,0,0,0,0,0,0,0,"NO"
4,2,21,0,10,2,176,1,1,1,1,1,1,0,1,0,0,0,"NO"
4,2,23,0,10,6,176,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,18,0,11,3,274,1,1,0,0,0,1,0,1,-1,0,-1,"NO"
4,2,21,0,12,6,280,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,10,0,14,3,71,1,1,18,18,18,6,0,6,12,12,12,"NO"
6,2,45,0,16,15,280,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,10,0,12,1,137,1,1,18,18,18,7,0,7,11,11,11,"NO"
1,2,2,0,2,0,6,1,1,13,13,13,0,0,0,13,13,13,"NO"
3,2,7,0,9,1,30,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,6,0,9,1,54,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,10,0,11,3,79,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,9,0,10,1,36,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,9,0,11,1,65,0,0,0,0,0,0,0,0,0,0,0,"NO"
5,2,25,0,15,10,162,1,1,1,1,1,1,0,1,0,0,0,"NO"
5,2,20,0,7,4,153,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,14,0,11,1,134,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,19,0,12,1,91,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,8,0,8,1,50,0,0,0,0,0,0,0,0,0,0,0,"NO"
6,2,40,0,17,15,286,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,3,0,4,1,10,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,7,0,9,1,28,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,5,0,8,1,19,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,6,0,7,1,28,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,5,0,7,1,22,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,9,0,10,1,106,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,6,0,7,1,36,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,7,0,7,1,30,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,25,0,13,1,214,1,1,27,27,27,6,0,6,21,21,21,"NO"
6,2,14,0,16,3,92,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,13,0,11,3,102,0,0,0,0,0,0,0,0,0,0,0,"NO"
5,2,33,0,11,6,206,1,1,1,1,1,1,0,1,0,0,0,"NO"
2,2,9,0,10,1,40,0,0,0,0,0,0,0,0,0,0,0,"NO"
2,2,7,0,10,1,79,0,0,0,0,0,0,0,0,0,0,0,"NO"
8,2,19,0,7,26,72,1,1,14,14,14,1,0,1,13,13,13,"NO"
26,1,39,0,10,311,179,1,1,3,3,3,3,0,3,0,0,0,"NO"
