"wmc","dit","rfc","noc","cbo","lcom","loc","revision_num","author_num","linesadd_sum","linesadd_max","linesadd_avg","linesdel_sum","linesdel_max","linesdel_avg","codechurn_sum","codechurn_max","codechurn_avg","isBug"
5,2,35,0,27,0,319,4,2,77,69,19.25,5,0,1.25,72,69,18,"YES"
10,3,20,0,7,3,86,0,0,0,0,0,0,0,0,0,0,0,"NO"
12,3,30,0,8,64,93,0,0,0,0,0,0,0,0,0,0,0,"NO"
5,2,10,0,5,10,32,0,0,0,0,0,0,0,0,0,0,0,"NO"
15,4,89,0,22,51,776,1,1,1,1,1,1,0,1,0,0,0,"NO"
3,1,10,0,1,1,84,0,0,0,0,0,0,0,0,0,0,0,"NO"
37,1,92,0,16,0,438,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,8,0,4,3,23,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,1,11,0,3,3,41,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,1,8,0,4,1,45,0,0,0,0,0,0,0,0,0,0,0,"NO"
4,1,10,0,6,6,34,0,0,0,0,0,0,0,0,0,0,0,"NO"
7,1,26,0,1,1,149,1,1,1,1,1,5,0,5,-4,0,-4,"NO"
25,1,59,0,13,300,220,4,1,25,9,6.25,144,0,36,-119,3,-29.75,"YES"
28,1,60,0,12,0,278,5,2,33,12,6.6,157,0,31.4,-124,5,-24.8,"YES"
15,1,28,0,17,29,371,2,1,12,10,6,2,0,1,10,10,5,"NO"
0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,1,3,0,9,3,3,1,1,1,1,1,0,0,0,1,1,1,"NO"
12,1,35,0,21,66,337,2,1,31,30,15.5,5,0,2.5,26,25,13,"NO"
1,1,1,0,6,0,1,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,1,3,0,9,3,3,1,1,1,1,1,0,0,0,1,1,1,"YES"
1,1,1,0,5,0,1,1,1,1,1,1,0,0,0,1,1,1,"NO"
1,1,1,0,4,0,1,2,1,3,2,1.5,1,0,0.5,2,1,1,"NO"
1,1,1,0,5,0,1,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,2,6,0,2,3,12,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,2,6,0,2,3,12,1,1,1,1,1,0,0,0,1,1,1,"NO"
6,1,18,4,12,7,99,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,2,6,0,2,3,12,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,2,6,0,2,3,12,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,1,12,0,5,0,61,2,2,2,1,1,2,0,1,0,0,0,"YES"
2,1,10,0,1,1,42,1,1,1,1,1,1,0,1,0,0,0,"NO"
3,2,14,0,2,0,42,1,1,1,1,1,0,0,0,1,1,1,"NO"
5,1,19,0,3,2,157,1,1,1,1,1,0,0,0,1,1,1,"NO"
7,1,20,0,8,11,91,1,1,1,1,1,0,0,0,1,1,1,"NO"
18,1,36,0,3,133,298,1,1,2,2,2,2,0,2,0,0,0,"NO"
13,2,18,1,5,58,103,1,1,8,8,8,7,0,7,1,1,1,"NO"
28,1,55,3,8,0,162,2,2,35,34,17.5,130,0,65,-95,0,-47.5,"YES"
5,1,5,0,32,10,5,0,0,0,0,0,0,0,0,0,0,0,"NO"
11,2,39,0,7,7,245,8,2,400,266,50,178,0,22.25,222,266,27.75,"YES"
0,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,"NO"
28,1,54,0,11,24,198,4,2,68,40,17,0,0,0,68,40,17,"YES"
20,1,31,1,7,110,160,2,2,84,60,42,0,0,0,84,60,42,"YES"
2,1,2,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,"NO"
17,1,17,0,5,136,17,2,2,49,33,24.5,0,0,0,49,33,24.5,"YES"
3,1,3,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,"NO"
10,2,46,0,9,0,296,6,1,519,492,86.5,183,0,30.5,336,492,56,"YES"
10,1,40,0,3,39,470,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,1,3,0,5,3,3,1,1,1,1,1,0,0,0,1,1,1,"NO"
3,5,6,0,2,3,17,2,2,59,58,29.5,0,0,0,59,58,29.5,"NO"
1,5,2,0,4,0,5,1,1,35,35,35,0,0,0,35,35,35,"NO"
8,5,14,0,46,6,79,2,1,7,4,3.5,3,0,1.5,4,4,2,"NO"
9,5,19,0,33,0,204,1,1,8,8,8,0,0,0,8,8,8,"NO"
3,5,6,0,38,3,17,1,1,2,2,2,0,0,0,2,2,2,"NO"
5,5,7,0,28,0,45,1,1,1,1,1,0,0,0,1,1,1,"NO"
4,4,7,6,38,0,35,1,1,3,3,3,0,0,0,3,3,3,"NO"
18,2,36,0,4,0,375,1,1,1,1,1,1,0,1,0,0,0,"NO"
19,2,29,0,1,61,342,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,1,3,0,4,3,3,1,1,1,1,1,0,0,0,1,1,1,"NO"
4,1,18,0,6,0,74,4,2,4,2,1,12,0,3,-8,1,-2,"NO"
1,1,1,0,6,0,1,1,1,2,2,2,2,0,2,0,0,0,"NO"
30,1,60,0,10,435,133,2,2,2,1,1,1,0,0.5,1,1,0.5,"NO"
0,1,0,0,5,0,60,10,3,45,12,4.5,8,0,0.8,37,9,3.7,"YES"
62,1,165,0,42,1423,1691,19,3,479,147,25.2105263157895,148,0,7.78947368421053,331,146,17.4210526315789,"YES"
4,1,4,0,8,6,4,0,0,0,0,0,0,0,0,0,0,0,"NO"
40,1,40,0,73,780,40,9,2,153,50,17,25,0,2.77777777777778,128,48,14.2222222222222,"YES"
40,1,78,0,19,0,208,3,1,26,22,8.66666666666667,0,0,0,26,22,8.66666666666667,"YES"
15,1,63,0,18,9,830,12,2,294,135,24.5,203,0,16.9166666666667,91,98,7.58333333333333,"NO"
14,1,33,0,7,47,344,9,2,159,87,17.6666666666667,141,0,15.6666666666667,18,25,2,"YES"
5,2,8,0,9,10,22,1,1,112,112,112,0,0,0,112,112,112,"YES"
9,2,26,0,9,24,119,4,2,228,201,57,18,0,4.5,210,201,52.5,"YES"
10,1,11,9,26,31,54,0,0,0,0,0,0,0,0,0,0,0,"YES"
0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,"NO"
5,2,31,0,14,10,239,5,2,236,202,47.2,12,0,2.4,224,202,44.8,"YES"
6,2,48,0,18,13,325,11,2,134,40,12.1818181818182,211,0,19.1818181818182,-77,40,-7,"YES"
7,3,31,0,13,9,298,1,1,10,10,10,4,0,4,6,6,6,"YES"
2,2,6,2,6,1,19,0,0,0,0,0,0,0,0,0,0,0,"NO"
5,2,10,0,5,8,31,0,0,0,0,0,0,0,0,0,0,0,"YES"
9,2,29,0,12,34,199,4,1,28,14,7,97,0,24.25,-69,1,-17.25,"YES"
6,4,14,0,6,0,239,2,1,7,5,3.5,11,0,5.5,-4,5,-2,"YES"
5,3,36,0,14,8,322,3,2,52,26,17.3333333333333,13,0,4.33333333333333,39,19,13,"YES"
6,2,38,0,14,1,297,14,2,430,236,30.7142857142857,148,0,10.5714285714286,282,236,20.1428571428571,"YES"
9,2,44,0,18,6,415,11,2,180,82,16.3636363636364,331,0,30.0909090909091,-151,36,-13.7272727272727,"YES"
10,1,46,1,12,0,357,3,1,4,2,1.33333333333333,3,0,1,1,1,0.333333333333333,"YES"
2,2,4,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,"NO"
5,1,26,0,4,0,121,3,1,159,156,53,7,0,2.33333333333333,152,156,50.6666666666667,"YES"
6,1,17,1,5,3,121,3,1,15,12,5,15,0,5,0,1,0,"YES"
6,1,20,0,2,3,110,4,2,19,10,4.75,6,0,1.5,13,9,3.25,"NO"
25,1,46,2,80,298,198,3,1,42,28,14,2,0,0.666666666666667,40,28,13.3333333333333,"NO"
9,1,51,1,12,0,316,5,1,16,7,3.2,14,0,2.8,2,3,0.4,"YES"
2,2,4,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,"NO"
4,1,4,0,15,6,14,1,1,1,1,1,0,0,0,1,1,1,"YES"
5,1,9,0,6,0,37,1,1,1,1,1,0,0,0,1,1,1,"YES"
16,2,24,0,3,106,151,1,1,1,1,1,0,0,0,1,1,1,"NO"
5,1,39,0,10,10,344,7,2,71,37,10.1428571428571,22,0,3.14285714285714,49,35,7,"YES"
2,1,2,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,"YES"
5,1,6,1,3,10,13,1,1,1,1,1,0,0,0,1,1,1,"YES"
2,2,3,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,"NO"
3,2,7,0,4,3,18,0,0,0,0,0,0,0,0,0,0,0,"NO"
20,2,27,0,8,118,129,1,1,1,1,1,0,0,0,1,1,1,"NO"
9,1,27,0,2,18,236,3,1,189,186,63,3,0,1,186,186,62,"YES"
6,1,30,0,8,0,163,1,1,1,1,1,3,0,3,-2,0,-2,"NO"
