"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"ant-1.3",20,125,0.16,5.25,"CK","SVM","Y","MYSMOTE",0.7935,0.4207,"M&H IR","ant-1.3",-0.0064,0.4271
"ant-1.4",40,178,0.224719101,3.45,"CK","SVM","Y","MYSMOTE",0.5386,0.0503,"Low IR","ant-1.4",0,0.0503
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","Y","MYSMOTE",0.7553,0.3906,"M&H IR","ant-1.5",0,0.3906
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","Y","MYSMOTE",0.7869,0.5118,"Low IR","ant-1.6",0.2991,0.2127
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","Y","MYSMOTE",0.7118,0.1944,"M&H IR","camel-1.0",0,0.1944
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","Y","MYSMOTE",0.539,0.1162,"Low IR","camel-1.2",0.0342,0.082
"camel-1.4",145,872,0.166284404,5.013793103,"CK","SVM","Y","MYSMOTE",0.6653,0.201,"M&H IR","camel-1.4",0,0.201
"camel-1.6",188,965,0.194818653,4.132978723,"CK","SVM","Y","MYSMOTE",0.6073,0.1472,"M&H IR","camel-1.6",-4e-04,0.1476
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","SVM","Y","MYSMOTE",0.7082,0.4505,"Low IR","Eclipse_JDT_Core",0.2596,0.1909
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","SVM","Y","MYSMOTE",0.6838,0.2564,"M&H IR","Eclipse_PDE_UI",0,0.2564
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","SVM","Y","MYSMOTE",0.7278,0.3879,"Low IR","Equinox_Framework",0.4097,-0.0218
"ivy-2.0",40,352,0.113636364,7.8,"CK","SVM","Y","MYSMOTE",0.7204,0.3444,"M&H IR","ivy-2.0",-0.0033,0.3477
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","SVM","Y","MYSMOTE",0.7429,0.4217,"Low IR","jedit-3.2",0.4481,-0.0264
"jedit-4.0",75,306,0.245098039,3.08,"CK","SVM","Y","MYSMOTE",0.6973,0.2683,"Low IR","jedit-4.0",0.0647,0.2036
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","SVM","Y","MYSMOTE",0.7314,0.412,"Low IR","jedit-4.1",0.1019,0.3101
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","SVM","Y","MYSMOTE",0.7006,0.3045,"M&H IR","jedit-4.2",0.0495,0.255
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","SVM","Y","MYSMOTE",0.6372,0.1234,"M&H IR","jedit-4.3",0,0.1234
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","SVM","Y","MYSMOTE",0.8174,0.5126,"Low IR","log4j-1.0",0.2563,0.2563
"Lucene",64,691,0.092619392,9.796875,"CK","SVM","Y","MYSMOTE",0.5999,0.1145,"M&H IR","Lucene",0,0.1145
"Mylyn",245,1862,0.131578947,6.6,"CK","SVM","Y","MYSMOTE",0.631,0.2542,"M&H IR","Mylyn",0,0.2542
"poi-2.0",37,314,0.117834395,7.486486486,"CK","SVM","Y","MYSMOTE",0.685,0.1951,"M&H IR","poi-2.0",0,0.1951
"synapse-1.0",16,157,0.101910828,8.8125,"CK","SVM","Y","MYSMOTE",0.7677,0.3062,"M&H IR","synapse-1.0",0,0.3062
