"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC"
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","N","NONE",0.5128,-0.0098
"ant-1.3",20,125,0.16,5.25,"CK","IBk","N","NONE",0.7141,0.2468
"ant-1.3",20,125,0.16,5.25,"CK","LR","N","NONE",0.7942,0.2029
"ant-1.3",20,125,0.16,5.25,"CK","NB","N","NONE",0.7646,0.1287
"ant-1.3",20,125,0.16,5.25,"CK","RF","N","NONE",0.712,0.2358
"ant-1.3",20,125,0.16,5.25,"CK","Ripper","N","NONE",0.5789,0.1643
"ant-1.3",20,125,0.16,5.25,"CK","SVM","N","NONE",0.4976,-0.0064
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","OS",0.6642,0.2869
"ant-1.3",20,125,0.16,5.25,"CK","IBk","Y","OS",0.6917,0.2701
"ant-1.3",20,125,0.16,5.25,"CK","LR","Y","OS",0.7819,0.4251
"ant-1.3",20,125,0.16,5.25,"CK","NB","Y","OS",0.7625,0.2844
"ant-1.3",20,125,0.16,5.25,"CK","RF","Y","OS",0.7132,0.287
"ant-1.3",20,125,0.16,5.25,"CK","Ripper","Y","OS",0.6122,0.2229
"ant-1.3",20,125,0.16,5.25,"CK","SVM","Y","OS",0.7518,0.4446
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","SMOTE",0.6755,0.3128
"ant-1.3",20,125,0.16,5.25,"CK","IBk","Y","SMOTE",0.753,0.3452
"ant-1.3",20,125,0.16,5.25,"CK","LR","Y","SMOTE",0.7913,0.4096
"ant-1.3",20,125,0.16,5.25,"CK","NB","Y","SMOTE",0.7703,0.3433
"ant-1.3",20,125,0.16,5.25,"CK","RF","Y","SMOTE",0.6895,0.2717
"ant-1.3",20,125,0.16,5.25,"CK","Ripper","Y","SMOTE",0.6933,0.3382
"ant-1.3",20,125,0.16,5.25,"CK","SVM","Y","SMOTE",0.758,0.4409
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","MYSMOTE",0.7925,0.4143
"ant-1.3",20,125,0.16,5.25,"CK","IBk","Y","MYSMOTE",0.7943,0.4281
"ant-1.3",20,125,0.16,5.25,"CK","LR","Y","MYSMOTE",0.8182,0.4501
"ant-1.3",20,125,0.16,5.25,"CK","NB","Y","MYSMOTE",0.814,0.4428
"ant-1.3",20,125,0.16,5.25,"CK","RF","Y","MYSMOTE",0.7714,0.4062
"ant-1.3",20,125,0.16,5.25,"CK","Ripper","Y","MYSMOTE",0.7961,0.4422
"ant-1.3",20,125,0.16,5.25,"CK","SVM","Y","MYSMOTE",0.7935,0.4207
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","UOS",0.6572,0.2727
"ant-1.3",20,125,0.16,5.25,"CK","IBk","Y","UOS",0.6783,0.2438
"ant-1.3",20,125,0.16,5.25,"CK","LR","Y","UOS",0.7874,0.3373
"ant-1.3",20,125,0.16,5.25,"CK","NB","Y","UOS",0.7847,0.3627
"ant-1.3",20,125,0.16,5.25,"CK","RF","Y","UOS",0.6858,0.2703
"ant-1.3",20,125,0.16,5.25,"CK","Ripper","Y","UOS",0.6795,0.3288
"ant-1.3",20,125,0.16,5.25,"CK","SVM","Y","UOS",0.6915,0.3338
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","US",0.6987,0.3196
